,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3587,437
predicted:Occupied(0),30,1991
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,39.4%,
Accuracy: Overall,92.30000000000001%,
Accuracy: Vacant,99.2%,
Accuracy: Occupied,82.0%,
Complaint Opportunity Rate,7.199999999999999%,
Missed Opportunity Rate,0.5%,
