,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3090,265
predicted:Occupied(0),527,2163
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,54.800000000000004%,
Accuracy: Overall,86.9%,
Accuracy: Vacant,85.39999999999999%,
Accuracy: Occupied,89.1%,
Complaint Opportunity Rate,4.3999999999999995%,
Missed Opportunity Rate,8.7%,
