fused-proba-dt,fused-proba-SM,truth-val,Elec-val,Elec-proba,WiFi-val,WiFi-proba,CO2-val,CO2-proba
2019-07-16 00:00:00,0.5388987727050764,1,4816.5,0.44369278600401113,2,0.7172238867498594,118,0.4557796453613587
2019-07-16 00:05:00,0.5358948746299755,1,4672.4,0.4453637361011206,2,0.7172238867498594,120,0.4450970010389467
2019-07-16 00:10:00,0.5423909748478856,1,4837.8,0.4434459032514627,2,0.7172238867498594,116,0.4665031345423346
2019-07-16 00:15:00,0.5409098161852534,1,4758.2,0.44436866800754116,2,0.7172238867498594,117,0.4611368937983594
2019-07-16 00:20:00,0.5461168455225988,1,4801.3,0.4438689822571242,2,0.7172238867498594,114,0.4772576675608128
2019-07-16 00:25:00,0.5481558948439683,1,5203.6,0.43921046912947,2,0.7172238867498594,112,0.4880333286525755
2019-07-16 00:30:00,0.5518606149469123,1,5175.3,0.43953783441522215,2,0.7172238867498594,110,0.49882012367565537
2019-07-16 00:35:00,0.5623618053243528,1,4782.1,0.44409156612219625,2,0.7172238867498594,105,0.525769963101003
2019-07-16 00:40:00,0.5606480279850513,1,5226.1,0.4389502341042916,2,0.7172238867498594,105,0.525769963101003
2019-07-16 00:45:00,0.5628363980112963,1,5123.4,0.44013833342474074,2,0.7172238867498594,104,0.5311469738592887
2019-07-16 00:50:00,0.567795506723369,1,5227.6,0.4389328862947371,2,0.7172238867498594,101,0.5472297471255103
2019-07-16 00:55:00,0.5696605751443589,1,5205.6,0.43918733577136704,2,0.7172238867498594,100,0.5525705029118502
2019-07-16 01:00:00,0.5692778294883951,1,5304.9,0.43803909880347575,2,0.7172238867498594,100,0.5525705029118502
2019-07-16 01:05:00,0.5746570673746686,1,5746.0,0.4329467041496389,2,0.7172238867498594,96,0.5738006112245074
2019-07-16 01:10:00,0.5804024418741937,1,5164.4,0.43966393615501326,2,0.7172238867498594,94,0.5843195027177083
2019-07-16 01:15:00,0.5874677453137759,1,5130.2,0.4400596453139546,2,0.7172238867498594,90,0.6051197038775137
2019-07-16 01:20:00,0.5888008984009167,1,4784.9,0.44405910457537656,2,0.7172238867498594,90,0.6051197038775137
2019-07-16 01:25:00,0.593891774415423,1,4792.3,0.44397331564404313,2,0.7172238867498594,87,0.6204781208523663
2019-07-16 01:30:00,0.5987075568761017,1,4850.4,0.443299873073435,2,0.7172238867498594,84,0.6355989108050103
2019-07-16 01:35:00,0.6014487752832137,1,4998.2,0.44158765403885625,2,0.7172238867498594,82,0.6455347850609258
2019-07-16 01:40:00,0.5992059444013852,1,5151.6,0.4398120288753185,2,0.7172238867498594,83,0.6405819175789779
2019-07-16 01:45:00,0.5990439814030951,1,5193.6,0.43932613988044816,2,0.7172238867498594,83,0.6405819175789779
2019-07-16 01:50:00,0.6103351360659676,1,4793.1,0.44396404136498263,2,0.7172238867498594,77,0.6698174800830605
2019-07-16 01:55:00,0.6106416366641698,1,4713.8,0.4448835431595896,2,0.7172238867498594,77,0.6698174800830605
2019-07-16 02:00:00,0.6140028885824361,1,4661.2,0.4454936609410515,2,0.7172238867498594,75,0.6792911180563973
2019-07-16 02:05:00,0.6185747857685434,1,4680.2,0.4452732571403415,2,0.7172238867498594,72,0.6932272134154297
2019-07-16 02:10:00,0.6178014935224171,1,4880.3,0.4429533804019619,2,0.7172238867498594,72,0.6932272134154297
2019-07-16 02:15:00,0.6216167791502213,1,4678.0,0.4452987764802046,2,0.7172238867498594,70,0.7023276742205998
2019-07-16 02:20:00,0.6230782205408766,1,5071.4,0.4407401652217098,2,0.7172238867498594,68,0.7112706096510607
2019-07-16 02:25:00,0.619841473806824,1,5137.7,0.4399728604500128,2,0.7172238867498594,70,0.7023276742205998
2019-07-16 02:30:00,0.6284081847088356,1,4822.8,0.44361976144298565,2,0.7172238867498594,65,0.7243809059336619
2019-07-16 02:35:00,0.6301340493015538,1,4746.0,0.444510130857237,2,0.7172238867498594,64,0.7286681302975653
2019-07-16 02:40:00,0.6269567047349264,1,4825.0,0.44359426137636,2,0.7172238867498594,66,0.7200519660785597
