timestamp,timestamp,WiFi-val,CO2-val,Elec-val,truth-val
2019-07-23 17:20:00,2019-07-23 17:20:00,23,398,1002.0,0
2019-07-23 17:30:00,2019-07-23 17:30:00,19,375,988.2,0
2019-07-23 17:40:00,2019-07-23 17:40:00,16,369,1004.2,0
2019-07-23 17:50:00,2019-07-23 17:50:00,13,362,342.4,0
2019-07-23 18:00:00,2019-07-23 18:00:00,11,348,305.5,0
2019-07-23 18:10:00,2019-07-23 18:10:00,8,336,299.8,0
2019-07-23 18:20:00,2019-07-23 18:20:00,6,323,294.5,0
2019-07-23 18:30:00,2019-07-23 18:30:00,4,310,291.1,0
2019-07-23 18:40:00,2019-07-23 18:40:00,2,309,219.3,0
2019-07-23 18:50:00,2019-07-23 18:50:00,4,291,223.5,0
2019-07-23 19:00:00,2019-07-23 19:00:00,3,281,228.0,0
2019-07-23 19:10:00,2019-07-23 19:10:00,4,269,224.4,0
2019-07-23 19:20:00,2019-07-23 19:20:00,3,272,226.9,0
2019-07-23 19:30:00,2019-07-23 19:30:00,4,270,272.9,1
2019-07-23 19:40:00,2019-07-23 19:40:00,2,263,213.1,1
2019-07-23 19:50:00,2019-07-23 19:50:00,3,252,214.8,1
2019-07-23 20:00:00,2019-07-23 20:00:00,3,250,209.7,1
2019-07-23 20:10:00,2019-07-23 20:10:00,2,236,211.4,1
2019-07-23 20:20:00,2019-07-23 20:20:00,2,230,222.7,1
2019-07-23 20:30:00,2019-07-23 20:30:00,2,226,217.1,1
2019-07-23 20:40:00,2019-07-23 20:40:00,2,220,312.5,1
2019-07-23 20:50:00,2019-07-23 20:50:00,2,209,310.5,1
2019-07-23 21:00:00,2019-07-23 21:00:00,2,208,293.9,1
2019-07-23 21:10:00,2019-07-23 21:10:00,2,193,297.0,1
2019-07-23 21:20:00,2019-07-23 21:20:00,1,186,283.2,1
2019-07-23 21:30:00,2019-07-23 21:30:00,1,180,208.3,1
2019-07-23 21:40:00,2019-07-23 21:40:00,1,172,208.1,1
2019-07-23 21:50:00,2019-07-23 21:50:00,1,168,208.3,1
2019-07-23 22:00:00,2019-07-23 22:00:00,1,164,230.9,1
2019-07-23 22:10:00,2019-07-23 22:10:00,1,158,212.8,0
2019-07-23 22:20:00,2019-07-23 22:20:00,1,146,208.3,0
2019-07-23 22:30:00,2019-07-23 22:30:00,1,142,446.5,0
2019-07-23 22:40:00,2019-07-23 22:40:00,1,150,203.6,0
2019-07-23 22:50:00,2019-07-23 22:50:00,1,138,203.8,0
