timestamp,WiFi-val,CO2-val,Elec-val,truth-val,Max_RH,Max_T
7/23/2019 20:50,2,209,310.5,1,63.3,26.4
7/23/2019 21:00,2,208,293.9,1,66.5,26.7
7/23/2019 21:10,2,193,297,1,63.8,26.3
7/23/2019 21:20,1,186,283.2,1,63.9,26.5
7/23/2019 21:30,1,180,208.3,1,64.3,26.6
7/23/2019 21:40,1,172,208.1,1,64.5,26.8
7/23/2019 21:50,1,168,208.3,1,64.2,26.2
7/23/2019 22:00,1,164,230.9,1,62.6,26.3
7/23/2019 22:10,1,158,212.8,0,60.9,26.8
7/23/2019 22:20,1,146,208.3,0,61.8,26.8
7/23/2019 22:30,1,142,446.5,0,62.5,27.3
7/23/2019 22:40,1,150,203.6,0,62.5,27.4
7/23/2019 22:50,1,138,203.8,0,62.8,27.3
