runtimedt,overallprobadt,overallprobaval,wifidt,wifival,wifiproba,co2dt,co2val,co2proba,elecdt,elecval,elecproba
2019-02-03 22:52:39.695322000,2019-02-03 22:52:28.359008700,0.5924302257839449,2019-02-03 22:51:41.975006100,31,0.5697182599730667,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 22:52:28.359008700,103.414749,0.5924302257839449
2019-02-03 22:57:40.507320000,2019-02-03 22:57:28.219009300,0.63129458840133,2019-02-03 22:51:41.975006100,31,0.5697182599730667,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 22:57:28.219009300,96.76635,0.63129458840133
2019-02-03 23:02:41.307064000,2019-02-03 23:02:28.803009000,0.7175147648568897,2019-02-03 23:01:41.354003900,29,0.5819606015277514,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:02:28.803009000,80.75401,0.7175147648568897
2019-02-03 23:07:42.126268000,2019-02-03 23:07:28.654006900,0.6931104024371622,2019-02-03 23:01:41.354003900,29,0.5819606015277514,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:07:28.654006900,85.52313000000001,0.6931104024371622
2019-02-03 23:12:43.002896000,2019-02-03 23:12:28.654006900,0.639824205990404,2019-02-03 23:11:42.029006900,28,0.5880450893438691,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:12:28.654006900,95.27119,0.639824205990404
2019-02-03 23:17:43.834812000,2019-02-03 23:17:29.555007900,0.6416909311693321,2019-02-03 23:11:42.029006900,28,0.5880450893438691,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:17:29.555007900,94.94194,0.6416909311693321
2019-02-03 23:22:44.661727000,2019-02-03 23:22:38.587005600,0.6382485575879682,2019-02-03 23:21:41.314010600,33,0.5573900709970208,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:22:38.587005600,95.54852,0.6382485575879682
2019-02-03 23:27:45.429224000,2019-02-03 23:27:38.677001900,0.6204853089863016,2019-02-03 23:21:41.314010600,33,0.5573900709970208,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:27:38.677001900,98.64069,0.6204853089863016
2019-02-03 23:32:46.219962000,2019-02-03 23:32:38.234008700,0.5697182599730667,2019-02-03 23:31:41.366012500,31,0.5697182599730667,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:32:38.234008700,108.26556399999998,0.5632943109610535
2019-02-03 23:37:47.003929000,2019-02-03 23:37:38.473007200,0.6717899399509689,2019-02-03 23:31:41.366012500,31,0.5697182599730667,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:37:38.473007200,89.51855,0.6717899399509689
2019-02-03 23:42:47.779012000,2019-02-03 23:42:38.017013500,0.667429636130852,2019-02-03 23:41:41.340011500,30,0.5758510666659657,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:42:38.017013500,90.31875,0.667429636130852
2019-02-03 23:47:48.590130000,2019-02-03 23:47:38.159011800,0.7391594639534352,2019-02-03 23:41:41.340011500,30,0.5758510666659657,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:47:38.159011800,76.31085999999999,0.7391594639534352
2019-02-03 23:52:49.347995000,2019-02-03 23:52:38.313003500,0.7610241715043496,2019-02-03 23:51:41.342010400,32,0.5635639848810514,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:52:38.313003500,71.57291,0.7610241715043496
2019-02-03 23:57:50.130885000,2019-02-03 23:57:38.413009600,0.7002437030599842,2019-02-03 23:51:41.342010400,32,0.5635639848810514,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:57:38.413009600,84.15258,0.7002437030599842
2019-02-04 00:02:50.911683000,2019-02-03 23:59:08.624008100,0.7160393113182653,2019-02-03 23:51:41.342010400,32,0.5635639848810514,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:59:08.624008100,81.04909,0.7160393113182653
2019-02-04 00:07:51.664045000,2019-02-03 23:59:23.678009000,0.7441412660213484,2019-02-03 23:51:41.342010400,32,0.5635639848810514,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-03 23:59:23.678009000,75.25522,0.7441412660213484
2019-02-04 00:12:52.480010000,2019-02-04 00:12:38.173004100,0.7257226955408176,2019-02-04 00:11:41.293014500,17,0.6528473974592715,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-04 00:12:38.173004100,79.09505,0.7257226955408176
2019-02-04 00:17:53.235773000,2019-02-04 00:17:37.976013100,0.7224686539139178,2019-02-04 00:11:41.293014500,17,0.6528473974592715,2019-02-03 17:45:00.000000000,617.0,0.056574796671136525,2019-02-04 00:17:37.976013100,79.75635,0.7224686539139178
