wifi1-dt,wifi1-val,co21-dt,co21-val,elec1-dt,elec1-val,truth-dt,truth-val
2/1/2019 9:11,16,2/1/2019 9:11,583,2/1/2019 9:11,15936.61,2019-02-01 09:11:00,0
2/1/2019 9:21,21,2/1/2019 9:21,598,2/1/2019 9:21,16441.51,2019-02-01 09:21:00,0
2/1/2019 9:31,20,2/1/2019 9:31,607,2/1/2019 9:31,16903.8,2019-02-01 09:31:00,0
2/1/2019 9:41,24,2/1/2019 9:41,639,2/1/2019 9:41,34416.5,2019-02-01 09:41:00,0
2/1/2019 9:51,25,2/1/2019 9:51,611,2/1/2019 9:51,15405.96,2019-02-01 09:51:00,0
2/1/2019 10:01,26,2/1/2019 10:01,631,2/1/2019 10:01,14892.69,2019-02-01 10:01:00,0
2/1/2019 10:11,27,2/1/2019 10:11,649,2/1/2019 10:11,14958.9,2019-02-01 10:11:00,0
2/1/2019 10:21,26,2/1/2019 10:21,677,2/1/2019 10:21,16317.99,2019-02-01 10:21:00,0
2/1/2019 10:31,27,2/1/2019 10:31,690,2/1/2019 10:31,14746.8,2019-02-01 10:31:00,0
2/1/2019 10:41,27,2/1/2019 10:41,743,2/1/2019 10:41,16087.49,2019-02-01 10:41:00,0
2/1/2019 10:51,27,2/1/2019 10:51,696,2/1/2019 10:51,16359.83,2019-02-01 10:51:00,0
2/1/2019 11:01,26,2/1/2019 11:01,706,2/1/2019 11:01,14441.14,2019-02-01 11:01:00,0
2/1/2019 11:11,25,2/1/2019 11:11,675,2/1/2019 11:11,14034.2,2019-02-01 11:11:00,0
2/1/2019 11:21,24,2/1/2019 11:21,708,2/1/2019 11:21,13057.2,2019-02-01 11:21:00,0
2/1/2019 11:31,26,2/1/2019 11:31,645,2/1/2019 11:31,13103.3,2019-02-01 11:31:00,0
2/1/2019 11:41,27,2/1/2019 11:41,675,2/1/2019 11:41,13858.5,2019-02-01 11:41:00,0
2/1/2019 11:51,24,2/1/2019 11:51,666,2/1/2019 11:51,16696.37,2019-02-01 11:51:00,0
2/1/2019 12:21,20,2/1/2019 12:21,755,2/1/2019 12:21,13223.74,2019-02-01 12:21:00,0
2/1/2019 12:31,18,2/1/2019 12:31,883,2/1/2019 12:31,13208.32,2019-02-01 12:31:00,0
2/1/2019 12:41,17,2/1/2019 12:41,781,2/1/2019 12:41,14783.91,2019-02-01 12:41:00,0
2/1/2019 12:51,17,2/1/2019 12:51,760,2/1/2019 12:51,19113.9,2019-02-01 12:51:00,0
2/1/2019 13:01,18,2/1/2019 13:01,847,2/1/2019 13:01,19025.9,2019-02-01 13:01:00,0
2/1/2019 13:11,19,2/1/2019 13:11,675,2/1/2019 13:11,17973.5,2019-02-01 13:11:00,0
2/1/2019 13:21,20,2/1/2019 13:21,682,2/1/2019 13:21,18233.14,2019-02-01 13:21:00,0
2/1/2019 13:31,21,2/1/2019 13:31,668,2/1/2019 13:31,17645.5,2019-02-01 13:31:00,0
2/1/2019 13:41,21,2/1/2019 13:41,655,2/1/2019 13:41,17689.85,2019-02-01 13:41:00,0
2/1/2019 13:51,23,2/1/2019 13:51,677,2/1/2019 13:51,18113.65,2019-02-01 13:51:00,0
