timestamp,wifi1-val,elec1-val,co21-val,truth-val
7/2/2019 10:25,32,28786.81,526,0
7/2/2019 10:30,32,31380.5,527,0
7/2/2019 10:35,33,29454.48,530,0
7/2/2019 10:40,33,27285.62,418,0
7/2/2019 10:45,31,26497.17,442,0
7/2/2019 10:50,31,30843.27,483,0
7/2/2019 10:55,30,31029.98,518,0
7/2/2019 11:00,30,29309.28,574,0
7/2/2019 11:05,28,31509.93,605,0
7/2/2019 11:10,28,30742.85,589,0
7/2/2019 11:15,29,30580.85,578,0
7/2/2019 11:20,29,32164.9,568,0
7/2/2019 11:25,29,29798.31,582,0
7/2/2019 11:30,29,32648.8,555,0
7/2/2019 11:35,29,33829.6,567,0
7/2/2019 11:40,29,34322.9,586,0
7/2/2019 11:45,31,33000.4,564,0
7/2/2019 11:50,31,30970.62,433,0
7/2/2019 11:55,30,30570.63,378,0
7/2/2019 12:00,30,30881.31,370,0
7/2/2019 12:05,31,28811.4,423,0
7/2/2019 12:10,31,32721,472,0
7/2/2019 12:15,31,33473.98,503,0
7/2/2019 12:20,31,32647.89,546,0
7/2/2019 12:25,31,38763.64,584,0
7/2/2019 12:30,31,28110.9,619,0
7/2/2019 12:35,30,44783.13,640,0
7/2/2019 12:40,30,33372.4,659,0
7/2/2019 12:45,29,29628.4,694,0
7/2/2019 12:50,29,34016.75,717,0
7/2/2019 12:55,28,32192.52,754,0
7/2/2019 13:00,29,30157.61,778,0
7/2/2019 13:05,32,30163.85,799,0
7/2/2019 13:10,31,29012.81,732,0
7/2/2019 13:15,29,32964.46,692,0
7/2/2019 13:20,30,29786.08,665,0
7/2/2019 13:25,33,30004,652,0
7/2/2019 13:30,33,28878.77,636,0
7/2/2019 13:35,32,30174.7,612,0
7/2/2019 13:40,33,31157.58,580,0
7/2/2019 13:45,35,34108.23,561,0
7/2/2019 13:50,35,29394.52,545,0
7/2/2019 13:55,37,27789.27,519,0
7/2/2019 14:00,37,29130.95,511,0
7/2/2019 14:05,39,25714.3,492,0
7/2/2019 14:10,39,29345.29,478,0
7/2/2019 14:15,40,25192.69,464,0
7/2/2019 14:20,40,23859.32,459,0
7/2/2019 14:25,38,24919.87,452,0
7/2/2019 14:30,38,27836.7,439,0
7/2/2019 14:35,38,28042.1,434,0
7/2/2019 14:40,38,25919.97,420,0
7/2/2019 14:45,39,24382.99,424,0
7/2/2019 14:50,38,28092.73,446,0
7/2/2019 14:55,36,28154.95,508,0
7/2/2019 15:00,35,27387.65,561,0
7/2/2019 15:05,32,24319.71,585,0
7/2/2019 15:10,32,24206.93,583,0
7/2/2019 15:15,34,23805.69,562,0
7/2/2019 15:20,34,26749.17,551,0
7/2/2019 15:25,33,25577.31,529,0
7/2/2019 15:30,31,23133.63,514,0
7/2/2019 15:35,31,26322.03,501,0
7/2/2019 15:40,31,23698.69,474,0
7/2/2019 15:45,30,26624.64,460,0
7/2/2019 15:50,30,24825.82,460,0
7/2/2019 15:55,31,22253.16,444,0
7/2/2019 16:00,31,23649.23,424,0
7/2/2019 16:05,30,25732.8,413,0
7/2/2019 16:10,30,25472.21,411,0
7/2/2019 16:15,29,21177.8,405,0
7/2/2019 16:20,29,21200.95,390,0
7/2/2019 16:25,30,20814.54,386,0
7/2/2019 16:30,30,20098.6,378,0
7/2/2019 16:35,28,22165,382,0
7/2/2019 16:40,28,22919.2,393,0
7/2/2019 16:45,26,23396.8,384,0
7/2/2019 16:50,26,23996.23,397,0
7/2/2019 16:55,27,19486.59,410,0
7/2/2019 17:00,26,20762.65,390,0
7/2/2019 17:05,21,16874.7,385,0
7/2/2019 17:10,21,16707.62,372,0
7/2/2019 17:15,22,18065.55,360,0
7/2/2019 17:20,20,18330.06,293,0
7/2/2019 17:25,14,17445.54,283,0
7/2/2019 17:30,14,16401.56,282,0
7/2/2019 17:35,14,16945.34,269,0
7/2/2019 17:40,12,17007.67,257,0
7/2/2019 17:45,6,16980.87,265,0
7/2/2019 17:50,6,16138.5,253,0
7/2/2019 17:55,6,20192.56,247,0
7/2/2019 18:00,6,22650.55,242,0
7/2/2019 18:05,5,20227.41,236,0
7/2/2019 18:10,5,22720.87,210,0
7/2/2019 18:15,4,20981.85,206,0
7/2/2019 18:20,4,15807.19,202,0
7/2/2019 18:25,4,14595.1,193,0
7/2/2019 18:30,4,14849.5,200,0
7/2/2019 18:35,3,15322.2,207,0
7/2/2019 18:40,3,14579.4,210,0
7/2/2019 18:45,3,14454.3,194,0
7/2/2019 18:50,3,14746.75,201,0
7/2/2019 18:55,2,14363.5,188,0
7/2/2019 19:00,2,14352.3,196,0
7/2/2019 19:05,3,10973.3,183,0
7/2/2019 19:10,3,11715.06,185,0
7/2/2019 19:15,2,11487.74,178,1
7/2/2019 19:20,2,11610.75,176,1
7/2/2019 19:25,0,10535.74,176,1
7/2/2019 19:30,0,10465.44,169,1
7/2/2019 19:35,2,8079.95,165,1
7/2/2019 19:40,2,8603.9,167,1
7/2/2019 19:45,1,8135.56,168,1
