wifi1-dt,wifi1-val,co21-dt,co21-val,elec1-dt,elec1-val
02-03-2019 21:11,50.80346058502266,02-03-2019 21:11,512.4425037037037,02-03-2019 21:11,168.25171213266307
02-03-2019 21:16,50.29525846426332,02-03-2019 21:16,511.25333333333333,02-03-2019 21:16,156.82028115703386
02-03-2019 21:21,48.968191615492664,02-03-2019 21:21,510.25333333333333,02-03-2019 21:21,153.62340582115328
02-03-2019 21:26,46.47664500959779,02-03-2019 21:26,509.27361481481483,02-03-2019 21:26,155.16500582899047
02-03-2019 21:31,44.39014955503864,02-03-2019 21:31,508.7511111111111,02-03-2019 21:31,147.62987596858224
02-03-2019 21:36,42.8859285112138,02-03-2019 21:36,508.4177777777778,02-03-2019 21:36,144.10351202396532
02-03-2019 21:41,41.79939222642392,02-03-2019 21:41,508.06416296296305,02-03-2019 21:41,140.9478105560003
02-03-2019 21:46,41.29529303571637,02-03-2019 21:46,507.25333333333333,02-03-2019 21:46,147.45033639483688
02-03-2019 21:51,40.38182721114107,02-03-2019 21:51,506.25333333333333,02-03-2019 21:51,147.41817158221735
02-03-2019 21:56,38.88604005585935,02-03-2019 21:56,505.31417777777773,02-03-2019 21:56,131.18000467802304
02-03-2019 22:01,38.006174407919026,02-03-2019 22:01,505.74666666666667,02-03-2019 22:01,103.73132978738273
02-03-2019 22:06,38.0,02-03-2019 22:06,506.74666666666667,02-03-2019 22:06,101.6989621836525
02-03-2019 22:11,38.20669303810238,02-03-2019 22:11,507.6756814814815,02-03-2019 22:11,102.52943898476451
02-03-2019 22:16,38.70458972568193,02-03-2019 22:16,507.0044444444444,02-03-2019 22:16,100.11911695527925
02-03-2019 22:21,37.96501749738025,02-03-2019 22:21,505.67111111111114,02-03-2019 22:21,99.99777208468976
02-03-2019 22:26,35.47791961535863,02-03-2019 22:26,504.33777777777783,02-03-2019 22:26,95.96983852692372
02-03-2019 22:31,33.597426769671294,02-03-2019 22:31,503.0044444444444,02-03-2019 22:31,98.98243967504416
02-03-2019 22:36,32.59090956845317,02-03-2019 22:36,501.67111111111114,02-03-2019 22:36,104.91804968828117
02-03-2019 22:41,31.797693046151327,02-03-2019 22:41,500.32763703703705,02-03-2019 22:41,92.52256200755083
02-03-2019 22:46,31.296254691807764,02-03-2019 22:46,498.75555555555565,02-03-2019 22:46,97.50453140441273
02-03-2019 22:51,30.590647486271894,02-03-2019 22:51,497.08888888888885,02-03-2019 22:51,98.98073058574458
02-03-2019 22:56,29.5917925204467,02-03-2019 22:56,495.4222222222222,02-03-2019 22:56,88.8769854283664
02-03-2019 23:01,28.79790480156776,02-03-2019 23:01,493.75555555555565,02-03-2019 23:01,84.28670430447366
02-03-2019 23:06,28.296381580810795,02-03-2019 23:06,492.08888888888885,02-03-2019 23:06,88.65452853821829
02-03-2019 23:11,29.03074194042827,02-03-2019 23:11,490.4627851851851,02-03-2019 23:11,97.94985402738376
02-03-2019 23:16,31.520620326417422,02-03-2019 23:16,489.7511111111111,02-03-2019 23:16,95.8559656839015
02-03-2019 23:21,32.576563511141934,02-03-2019 23:21,489.4177777777778,02-03-2019 23:21,92.73535460127655
02-03-2019 23:26,31.591168805356627,02-03-2019 23:26,489.0540222222222,02-03-2019 23:26,92.50601134986762
02-03-2019 23:31,30.797680986635733,02-03-2019 23:31,488.0044444444444,02-03-2019 23:31,92.74839597862473
02-03-2019 23:36,30.29557949492033,02-03-2019 23:36,486.67111111111114,02-03-2019 23:36,94.09202377755159
02-03-2019 23:41,30.415094310639827,02-03-2019 23:41,485.35805925925933,02-03-2019 23:41,83.95110257596046
02-03-2019 23:46,31.408861934384326,02-03-2019 23:46,484.5022222222223,02-03-2019 23:46,81.44578623193192
02-03-2019 23:51,30.446983953331024,02-03-2019 23:51,483.8355555555555,02-03-2019 23:51,79.75551271393866
02-03-2019 23:56,26.716559408470925,02-03-2019 23:56,483.1993111111111,02-03-2019 23:56,81.46006512637139
02-04-2019 00:01,22.966406289807594,02-04-2019 00:01,483.2488888888889,02-04-2019 00:01,72.01602717860492
02-04-2019 00:06,19.216253171144263,02-04-2019 00:06,483.5822222222222,02-04-2019 00:06,75.66507650829259
02-04-2019 00:11,16.808937348863765,02-04-2019 00:11,483.8547111111111,02-04-2019 00:11,80.11031829262465
02-04-2019 00:16,16.29548364543149,02-04-2019 00:16,482.75555555555565,02-04-2019 00:16,78.14367409586444
02-04-2019 00:21,16.208659985492208,02-04-2019 00:21,481.08888888888885,02-04-2019 00:21,73.30404625256782
02-04-2019 00:26,16.704533596359866,02-04-2019 00:26,479.4627851851851,02-04-2019 00:26,76.83561176568593
02-04-2019 00:31,16.791326733352403,02-04-2019 00:31,478.7511111111111,02-04-2019 00:31,76.01958649850009
02-04-2019 00:36,16.295460001627603,02-04-2019 00:36,478.4177777777778,02-04-2019 00:36,84.09384196735452
02-04-2019 00:41,16.00206661174798,02-04-2019 00:41,478.0945851851852,02-04-2019 00:41,94.69462896171866
02-04-2019 00:46,16.0,02-04-2019 00:46,478.0,02-04-2019 00:46,92.33439634446083
02-04-2019 00:51,16.0,02-04-2019 00:51,478.0,02-04-2019 00:51,84.83316594522375
02-04-2019 00:56,16.0,02-04-2019 00:56,477.9797185185185,02-04-2019 00:56,87.21824871958717
02-04-2019 01:01,16.20575451750715,02-04-2019 01:01,477.5022222222223,02-04-2019 01:01,89.1311991358968
02-04-2019 01:06,16.70414183572255,02-04-2019 01:06,476.8355555555555,02-04-2019 01:06,84.58918584824133
