wifi1-dt,wifi1-val,co21-dt,co21-val,elec1-dt,elec1-val
2019-02-01 08:51:00,15.0,2019-02-01 08:51:00,572.0,2019-02-01 08:51:00,15612.5
2019-02-01 09:01:00,17.0,2019-02-01 09:01:00,594.0,2019-02-01 09:01:00,18024.87
2019-02-01 09:11:00,16.0,2019-02-01 09:11:00,583.0,2019-02-01 09:11:00,15936.61
2019-02-01 09:21:00,21.0,2019-02-01 09:21:00,598.0,2019-02-01 09:21:00,16441.51
2019-02-01 09:31:00,20.0,2019-02-01 09:31:00,607.0,2019-02-01 09:31:00,16903.8
2019-02-01 09:41:00,24.0,2019-02-01 09:41:00,639.0,2019-02-01 09:41:00,34416.5
2019-02-01 09:51:00,25.0,2019-02-01 09:51:00,611.0,2019-02-01 09:51:00,15405.96
2019-02-01 10:01:00,26.0,2019-02-01 10:01:00,631.0,2019-02-01 10:01:00,14892.69
2019-02-01 10:11:00,27.0,2019-02-01 10:11:00,649.0,2019-02-01 10:11:00,14958.9
2019-02-01 10:21:00,26.0,2019-02-01 10:21:00,677.0,2019-02-01 10:21:00,16317.99
2019-02-01 10:31:00,27.0,2019-02-01 10:31:00,690.0,2019-02-01 10:31:00,14746.8
2019-02-01 10:41:00,27.0,2019-02-01 10:41:00,743.0,2019-02-01 10:41:00,16087.49
2019-02-01 10:51:00,27.0,2019-02-01 10:51:00,696.0,2019-02-01 10:51:00,16359.83
2019-02-01 11:01:00,26.0,2019-02-01 11:01:00,706.0,2019-02-01 11:01:00,14441.14
2019-02-01 11:11:00,25.0,2019-02-01 11:11:00,675.0,2019-02-01 11:11:00,14034.2
2019-02-01 11:21:00,24.0,2019-02-01 11:21:00,708.0,2019-02-01 11:21:00,13057.2
2019-02-01 11:31:00,26.0,2019-02-01 11:31:00,645.0,2019-02-01 11:31:00,13103.3
2019-02-01 11:41:00,27.0,2019-02-01 11:41:00,675.0,2019-02-01 11:41:00,13858.5
2019-02-01 11:51:00,24.0,2019-02-01 11:51:00,666.0,2019-02-01 11:51:00,16696.37
2019-02-01 12:21:00,20.0,2019-02-01 12:21:00,755.0,2019-02-01 12:21:00,13223.74
2019-02-01 12:31:00,18.0,2019-02-01 12:31:00,883.0,2019-02-01 12:31:00,13208.32
2019-02-01 12:41:00,17.0,2019-02-01 12:41:00,781.0,2019-02-01 12:41:00,14783.91
2019-02-01 12:51:00,17.0,2019-02-01 12:51:00,760.0,2019-02-01 12:51:00,19113.9
2019-02-01 13:01:00,18.0,2019-02-01 13:01:00,847.0,2019-02-01 13:01:00,19025.9
2019-02-01 13:11:00,19.0,2019-02-01 13:11:00,675.0,2019-02-01 13:11:00,17973.5
2019-02-01 13:21:00,20.0,2019-02-01 13:21:00,682.0,2019-02-01 13:21:00,18233.14
2019-02-01 13:31:00,21.0,2019-02-01 13:31:00,668.0,2019-02-01 13:31:00,17645.5
2019-02-01 13:41:00,21.0,2019-02-01 13:41:00,655.0,2019-02-01 13:41:00,17689.85
2019-02-01 13:51:00,23.0,2019-02-01 13:51:00,677.0,2019-02-01 13:51:00,18113.65
2019-02-01 14:01:00,24.0,2019-02-01 14:01:00,656.0,2019-02-01 14:01:00,18113.81
2019-02-01 14:11:00,25.0,2019-02-01 14:11:00,661.0,2019-02-01 14:11:00,16186.66
2019-02-01 14:21:00,27.0,2019-02-01 14:21:00,681.0,2019-02-01 14:21:00,17416.87
2019-02-01 14:31:00,29.0,2019-02-01 14:31:00,697.0,2019-02-01 14:31:00,17066.6
2019-02-01 14:41:00,28.0,2019-02-01 14:41:00,674.0,2019-02-01 14:41:00,15570.9
2019-02-01 14:51:00,26.0,2019-02-01 14:51:00,670.0,2019-02-01 14:51:00,15507.0
2019-02-01 15:01:00,26.0,2019-02-01 15:01:00,668.0,2019-02-01 15:01:00,18904.5
