timestamp,Haring_Hall_TOTAL/Electricity_Demand
2019-07-01 00:00:00,170.55279312133788
2019-07-01 00:10:00,167.89417114257813
2019-07-01 00:20:00,165.09472579956054
2019-07-01 00:30:00,167.27329635620117
2019-07-01 00:40:00,167.38227462768555
2019-07-01 00:50:00,165.66687927246093
2019-07-01 01:00:00,163.6690788269043
2019-07-01 01:10:00,166.34995727539064
2019-07-01 01:20:00,166.8167739868164
2019-07-01 01:30:00,169.55084838867188
2019-07-01 01:40:00,164.68773727416993
2019-07-01 01:50:00,163.41038818359374
2019-07-01 02:00:00,167.5788475036621
2019-07-01 02:10:00,164.2880531311035
2019-07-01 02:20:00,164.02178497314452
2019-07-01 02:30:00,166.5097396850586
2019-07-01 02:40:00,167.34784240722655
2019-07-01 02:50:00,163.40394287109376
2019-07-01 03:00:00,166.8346767425537
2019-07-01 03:10:00,158.93325023651124
2019-07-01 03:20:00,162.11012630462648
2019-07-01 03:30:00,160.46881103515625
2019-07-01 03:40:00,171.54529190063477
2019-07-01 03:50:00,167.10102157592775
2019-07-01 04:00:00,158.37331771850586
2019-07-01 04:10:00,160.44333190917968
2019-07-01 04:20:00,164.5624267578125
2019-07-01 04:30:00,158.59831619262695
2019-07-01 04:40:00,159.62121505737304
2019-07-01 04:50:00,163.05493927001953
2019-07-01 05:00:00,160.70648193359375
2019-07-01 05:10:00,167.85048332214356
2019-07-01 05:20:00,162.88087425231933
2019-07-01 05:30:00,160.51337738037108
2019-07-01 05:40:00,159.6730743408203
2019-07-01 05:50:00,160.09894180297852
2019-07-01 06:00:00,159.4280860900879
2019-07-01 06:10:00,159.2051233927409
2019-07-01 06:20:00,163.14174092610676
2019-07-01 06:30:00,161.82369995117188
2019-07-01 06:40:00,160.21869201660155
2019-07-01 06:50:00,164.5992093404134
2019-07-01 07:00:00,162.28693110148112
2019-07-01 07:10:00,159.50375595092774
2019-07-01 07:20:00,170.18176396687826
2019-07-01 07:30:00,172.4889170328776
2019-07-01 07:40:00,167.7449806213379
2019-07-01 07:50:00,170.7911346435547
2019-07-01 08:00:00,175.4704559326172
2019-07-01 08:10:00,178.06779022216796
2019-07-01 08:20:00,182.6011764526367
2019-07-01 08:30:00,183.08064498901368
2019-07-01 08:40:00,189.8372901916504
2019-07-01 08:50:00,185.59497108459473
2019-07-01 09:00:00,187.48497734069824
2019-07-01 09:10:00,183.7967971801758
2019-07-01 09:20:00,180.09698219299315
2019-07-01 09:30:00,183.449165725708
2019-07-01 09:40:00,184.12967910766602
2019-07-01 09:50:00,184.69551315307618
2019-07-01 10:00:00,189.72175521850585
2019-07-01 10:10:00,181.97950592041016
2019-07-01 10:20:00,186.12201309204102
2019-07-01 10:30:00,191.86269607543946
2019-07-01 10:40:00,187.37758865356446
2019-07-01 10:50:00,186.99572830200196
2019-07-01 11:00:00,190.05645904541015
2019-07-01 11:10:00,185.28259658813477
2019-07-01 11:20:00,182.87716217041014
2019-07-01 11:30:00,186.67119369506835
2019-07-01 11:40:00,187.00310287475585
2019-07-01 11:50:00,186.7501091003418
2019-07-01 12:00:00,190.15519485473632
2019-07-01 12:10:00,178.51929321289063
2019-07-01 12:20:00,179.97076950073242
2019-07-01 12:30:00,191.25504531860352
2019-07-01 12:40:00,180.5191291809082
2019-07-01 12:50:00,181.60360565185547
2019-07-01 13:00:00,189.37816696166993
2019-07-01 13:10:00,189.81240310668946
2019-07-01 13:20:00,185.07104034423827
2019-07-01 13:30:00,190.079248046875
2019-07-01 13:40:00,186.06512374877929
2019-07-01 13:50:00,186.39809074401856
2019-07-01 14:00:00,191.1057373046875
2019-07-01 14:10:00,205.2685176849365
2019-07-01 14:20:00,194.7325080871582
2019-07-01 14:30:00,199.9567726135254
2019-07-01 14:40:00,187.26190261840821
2019-07-01 14:50:00,185.6647689819336
2019-07-01 15:00:00,190.2685791015625
2019-07-01 15:10:00,188.6266761779785
2019-07-01 15:20:00,193.32269287109375
2019-07-01 15:30:00,186.53910446166992
2019-07-01 15:40:00,184.35820274353028
2019-07-01 15:50:00,182.70171623229982
2019-07-01 16:00:00,176.9247703552246
2019-07-01 16:10:00,190.89336891174315
2019-07-01 16:20:00,186.67930488586427
2019-07-01 16:30:00,185.20625915527344
2019-07-01 16:40:00,181.7871546427409
2019-07-01 16:50:00,186.97258809407552
2019-07-01 17:00:00,181.90295486450196
2019-07-01 17:10:00,185.55226669311523
2019-07-01 17:20:00,178.99390411376953
2019-07-01 17:30:00,184.1031951904297
2019-07-01 17:40:00,181.91811981201172
2019-07-01 17:50:00,178.7218894958496
2019-07-01 18:00:00,189.28053932189943
2019-07-01 18:10:00,181.24437370300294
2019-07-01 18:20:00,191.88752517700195
2019-07-01 18:30:00,182.95379791259765
2019-07-01 18:40:00,187.09086532592772
2019-07-01 18:50:00,184.04435653686522
2019-07-01 19:00:00,184.94031524658203
2019-07-01 19:10:00,181.24357986450195
2019-07-01 19:20:00,173.9134178161621
2019-07-01 19:30:00,181.93634338378905
2019-07-01 19:40:00,171.66636428833007
2019-07-01 19:50:00,171.4418571472168
2019-07-01 20:00:00,172.08456370035807
2019-07-01 20:10:00,178.58226979573567
2019-07-01 20:20:00,170.71643142700196
2019-07-01 20:30:00,172.94791145324706
2019-07-01 20:40:00,173.11276359558104
2019-07-01 20:50:00,170.90562210083007
2019-07-01 21:00:00,174.62009658813477
2019-07-01 21:10:00,172.85127639770508
2019-07-01 21:20:00,168.5477722167969
2019-07-01 21:30:00,171.78410797119142
2019-07-01 21:40:00,169.64920806884766
2019-07-01 21:50:00,173.92651774088543
