,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3255,376
predicted:Occupied(0),362,2052
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,81.6%,
Accuracy: Overall,87.8%,
Accuracy: Vacant,90.0%,
Accuracy: Occupied,84.5%,
Complaint Opportunity Rate,6.2%,
Missed Opportunity Rate,6.0%,
