,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3607,617
predicted:Occupied(0),10,1811
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,72.2%,
Accuracy: Overall,89.60000000000001%,
Accuracy: Vacant,99.7%,
Accuracy: Occupied,74.6%,
Complaint Opportunity Rate,10.2%,
Missed Opportunity Rate,0.2%,
