,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
932,0.932,2570.0,2181.0,247.0,1047.0,0.7105335913740669,0.8982701812191104,0.04086021505376344,0.10172981878088962,0.17320099255583127,0.2894664086259331,0.35143911607495487,0.5873512459698927,0.598295510573639,0.30682202944376125,0.20086697053402722,0.7109788826387624,,
933,0.933,2569.0,2181.0,247.0,1048.0,0.7102571191595245,0.8982701812191104,0.04086021505376344,0.10172981878088962,0.17336641852770884,0.28974288084047556,0.3511037734069444,0.5867907963077078,0.5980373585624505,0.3070828764795111,0.20100962937709563,0.7112550742964198,,
934,0.934,2554.0,2182.0,246.0,1063.0,0.7061100359413879,0.8986820428336079,0.040694789081885854,0.1013179571663921,0.1758478081058726,0.2938899640586121,0.34474793139307636,0.5761684393893135,0.5945909897180826,0.31086434246909567,0.20294772740784917,0.7153138790679395,,
935,0.935,2552.0,2183.0,245.0,1065.0,0.7055570915123031,0.8990939044481054,0.04052936311000827,0.10090609555189456,0.1761786600496278,0.294442908487697,0.34270173484619965,0.5727486832030072,0.5944962570941966,0.3112533798663436,0.20302945691798122,0.7158011111588383,,
936,0.936,2542.0,2184.0,244.0,1075.0,0.7027923693668786,0.899505766062603,0.04036393713813069,0.10049423393739704,0.17783291976840365,0.2972076306331214,0.3381280410712233,0.5651047852572698,0.5923486158992604,0.31373789500348565,0.20426364925757048,0.7184580548747109,,
937,0.937,2525.0,2184.0,244.0,1092.0,0.6980923417196572,0.899505766062603,0.04036393713813069,0.10049423393739704,0.18064516129032257,0.3019076582803428,0.3328641429959387,0.5563073664391622,0.587996017811162,0.3181938484367423,0.2067166305653005,0.7230257073486597,,
938,0.938,2517.0,2184.0,244.0,1100.0,0.6958805640033177,0.899505766062603,0.04036393713813069,0.10049423393739704,0.18196856906534326,0.30411943599668234,0.3304433128650592,0.552261494683241,0.5859528583786904,0.32029318195304196,0.20787412340729877,0.7251546950114085,,
939,0.939,2509.0,2185.0,243.0,1108.0,0.6936687862869781,0.8999176276771005,0.0401985111662531,0.1000823723228995,0.18329197684036394,0.30633121371302185,0.32671294286275043,0.5460270222851331,0.5843357636755259,0.32226587430981973,0.2088358925659763,0.7272139273837721,,
940,0.94,2493.0,2186.0,242.0,1124.0,0.6892452308542991,0.9003294892915981,0.04003308519437552,0.09967051070840198,0.18593879239040528,0.3107547691457009,0.32073686586502664,0.5360393569682296,0.5806905879461111,0.3263475712360543,0.21096787722417815,0.7313516407648769,,
941,0.941,2492.0,2189.0,239.0,1125.0,0.6889687586397567,0.9015650741350906,0.039536807278742765,0.09843492586490939,0.18610421836228289,0.3110312413602433,0.31647922386966865,0.5289236683141131,0.5817096624348693,0.326235908097383,0.21053316774861502,0.7314447923448651,,
942,0.942,2478.0,2190.0,238.0,1139.0,0.6850981476361626,0.9019769357495881,0.039371381306865176,0.09802306425041186,0.18842018196856908,0.31490185236383744,0.31128131992426666,0.5202365438048636,0.5785893876549202,0.32980554535546613,0.2123927637611721,0.735016359838704,,
943,0.943,2466.0,2191.0,237.0,1151.0,0.6817804810616533,0.9023887973640856,0.039205955334987594,0.09761120263591433,0.1904052936311001,0.3182195189383467,0.306741720186014,0.512649626354563,0.5759848541632678,0.3328537353153519,0.21396757399843316,0.7380401903171467,,
944,0.944,2464.0,2191.0,237.0,1153.0,0.6812275366325684,0.9023887973640856,0.039205955334987594,0.09761120263591433,0.19073614557485524,0.3187724633674316,0.30620964434874426,0.5117603815560297,0.5754804934730006,0.3333824084761673,0.21426204542284644,0.7385506009838135,,
945,0.945,2456.0,2193.0,235.0,1161.0,0.6790157589162289,0.9032125205930808,0.03887510339123242,0.09678747940691927,0.19205955334987593,0.3209842410837711,0.30153343067599225,0.5039451447156132,0.5743194353889273,0.33525915228979103,0.21506903125019802,0.7404764785686057,,
946,0.946,2438.0,2193.0,235.0,1179.0,0.674039259054465,0.9032125205930808,0.03887510339123242,0.09678747940691927,0.19503722084367245,0.32596074094553495,0.2969298668488779,0.4962513257123215,0.5697975974871533,0.34002679424966936,0.21773225228332224,0.7450093243867842,,
947,0.947,2430.0,2193.0,235.0,1187.0,0.6718274813381255,0.9032125205930808,0.03887510339123242,0.09678747940691927,0.19636062861869313,0.32817251866187447,0.29492865460389805,0.49290675064433614,0.5677925575773143,0.34214765551560217,0.21891850685009057,0.7470044521211473,,
948,0.948,2425.0,2194.0,234.0,1192.0,0.6704451202654134,0.9036243822075782,0.03870967741935484,0.09637561779242175,0.19718775847808107,0.3295548797345867,0.29244178653958847,0.48875051137180325,0.5669704514555953,0.3433579450977491,0.2194795475630497,0.7481922215695418,,
949,0.949,2408.0,2195.0,233.0,1209.0,0.6657450926181919,0.9040362438220758,0.03854425144747725,0.09596375617792421,0.2,0.33425490738180813,0.2870975236522348,0.47981878088962104,0.5631548631164057,0.3477576535586201,0.22183111256038027,0.7523247398262077,,
950,0.95,2391.0,2197.0,231.0,1226.0,0.6610450649709704,0.9048599670510709,0.03821339950372209,0.09514003294892916,0.20281224152191893,0.33895493502902957,0.28068637779467925,0.46910399606547865,0.5597864192688163,0.3520540780193534,0.22401881880919847,0.7563537849095812,,
951,0.951,2379.0,2197.0,231.0,1238.0,0.6577273983964611,0.9048599670510709,0.03821339950372209,0.09514003294892916,0.20479735318444997,0.34227260160353884,0.2779656697708213,0.46455694602284064,0.5568073325075839,0.3552494330438518,0.22581758510107147,0.7592406043331364,,
952,0.952,2360.0,2197.0,231.0,1257.0,0.6524744263201548,0.9048599670510709,0.03821339950372209,0.09514003294892916,0.20794044665012407,0.34752557367984516,0.2737641202675233,0.45753500332241587,0.552102313357936,0.3603132667985302,0.22867193798666335,0.7637596145828268,,
953,0.953,2351.0,2198.0,230.0,1266.0,0.6499861763892729,0.9052718286655683,0.0380479735318445,0.09472817133443164,0.20942928039702233,0.35001382361072714,0.2706412288441068,0.4523157944049283,0.5503138969004069,0.3626059888680365,0.2298565855745274,0.7658272631261036,,
