timestamp,CO2-val,truth-val
2019-07-09 11:45:00,346,0
2019-07-09 11:50:00,330,0
2019-07-09 11:55:00,325,0
2019-07-09 12:00:00,321,0
2019-07-09 12:05:00,323,0
2019-07-09 12:10:00,327,0
2019-07-09 12:15:00,428,0
2019-07-09 12:20:00,568,0
2019-07-09 12:25:00,601,0
2019-07-09 12:30:00,511,0
2019-07-09 12:35:00,468,0
2019-07-09 12:40:00,463,0
2019-07-09 12:45:00,420,0
2019-07-09 12:50:00,372,0
2019-07-09 12:55:00,283,0
2019-07-09 13:00:00,290,0
2019-07-09 13:05:00,349,0
2019-07-09 13:10:00,444,0
2019-07-09 13:15:00,486,0
2019-07-09 13:20:00,501,0
2019-07-09 13:25:00,529,0
2019-07-09 13:30:00,539,0
2019-07-09 13:35:00,530,0
2019-07-09 13:40:00,538,0
2019-07-09 13:45:00,554,0
2019-07-09 13:50:00,555,0
2019-07-09 13:55:00,565,0
2019-07-10 11:00:00,588,0
2019-07-10 11:05:00,518,0
2019-07-10 11:10:00,539,0
2019-07-10 11:15:00,553,0
2019-07-10 11:20:00,567,0
2019-07-10 11:25:00,584,0
2019-07-10 11:30:00,618,0
2019-07-10 11:35:00,599,0
2019-07-10 11:40:00,605,0
2019-07-10 11:45:00,615,0
2019-07-10 11:50:00,608,0
2019-07-10 11:55:00,622,0
2019-07-10 12:00:00,625,0
2019-07-10 12:05:00,612,0
2019-07-10 12:10:00,615,0
2019-07-10 12:15:00,544,0
2019-07-10 12:20:00,498,0
2019-07-10 12:25:00,522,0
2019-07-10 12:30:00,575,0
2019-07-10 12:35:00,591,0
2019-07-10 12:40:00,611,0
2019-07-10 12:45:00,589,0
2019-07-10 12:50:00,486,0
2019-07-10 12:55:00,426,0
2019-07-10 13:00:00,428,0
2019-07-10 13:05:00,411,0
2019-07-10 13:10:00,408,0
2019-07-10 13:15:00,430,0
2019-07-10 13:20:00,475,0
2019-07-10 13:25:00,494,0
2019-07-10 13:30:00,505,0
2019-07-10 13:35:00,515,0
2019-07-10 13:40:00,511,0
2019-07-10 13:45:00,495,0
2019-07-10 13:50:00,463,0
2019-07-10 13:55:00,410,0
2019-07-11 11:00:00,574,0
2019-07-11 11:05:00,490,0
2019-07-11 11:10:00,466,0
2019-07-11 11:15:00,482,0
2019-07-11 11:20:00,450,0
2019-07-11 11:25:00,447,0
2019-07-11 11:30:00,451,0
2019-07-11 11:35:00,489,0
2019-07-11 11:40:00,539,0
2019-07-11 11:45:00,578,0
2019-07-11 11:50:00,604,0
2019-07-11 11:55:00,532,0
2019-07-11 12:00:00,493,0
2019-07-11 12:05:00,507,0
2019-07-11 12:10:00,521,0
2019-07-11 12:15:00,591,0
2019-07-11 12:20:00,628,0
2019-07-11 12:25:00,639,0
2019-07-11 12:30:00,623,0
2019-07-11 12:35:00,623,0
2019-07-11 12:40:00,616,0
2019-07-11 12:45:00,616,0
2019-07-11 12:50:00,622,0
2019-07-11 12:55:00,626,0
2019-07-11 13:00:00,660,0
2019-07-11 13:05:00,596,0
2019-07-11 13:10:00,578,0
2019-07-11 13:15:00,708,0
2019-07-11 13:20:00,838,0
2019-07-11 13:25:00,1002,0
2019-07-11 13:30:00,1083,0
2019-07-11 13:35:00,1222,0
2019-07-11 13:40:00,1352,0
2019-07-11 13:45:00,1408,0
2019-07-11 13:50:00,1444,0
2019-07-11 13:55:00,1524,0
2019-07-12 11:00:00,494,0
2019-07-12 11:05:00,505,0
2019-07-12 11:10:00,527,0
2019-07-12 11:15:00,539,0
2019-07-12 11:20:00,553,0
2019-07-12 11:25:00,552,0
2019-07-12 11:30:00,574,0
2019-07-12 11:35:00,586,0
2019-07-12 11:40:00,602,0
2019-07-12 11:45:00,602,0
2019-07-12 11:50:00,630,0
2019-07-12 11:55:00,632,0
2019-07-12 12:00:00,663,0
2019-07-12 12:05:00,632,0
2019-07-12 12:10:00,644,0
2019-07-12 12:15:00,617,0
2019-07-12 12:20:00,618,0
2019-07-12 12:25:00,608,0
2019-07-12 12:30:00,609,0
2019-07-12 12:35:00,473,0
2019-07-12 12:40:00,431,0
2019-07-12 12:45:00,413,0
2019-07-12 12:50:00,453,0
2019-07-12 12:55:00,505,0
2019-07-12 13:00:00,531,0
2019-07-12 13:05:00,526,0
2019-07-12 13:10:00,581,0
2019-07-12 13:15:00,629,0
2019-07-12 13:20:00,688,0
2019-07-12 13:25:00,711,0
2019-07-12 13:30:00,577,0
2019-07-12 13:35:00,599,0
2019-07-12 13:40:00,573,0
2019-07-12 13:45:00,579,0
2019-07-12 13:50:00,578,0
2019-07-12 13:55:00,570,0
2019-07-15 11:00:00,742,0
2019-07-15 11:05:00,774,0
2019-07-15 11:10:00,791,0
2019-07-15 11:15:00,818,0
2019-07-15 11:20:00,863,0
2019-07-15 11:25:00,870,0
2019-07-15 11:30:00,769,0
2019-07-15 11:35:00,708,0
2019-07-15 11:40:00,746,0
2019-07-15 11:45:00,798,0
2019-07-15 11:50:00,827,0
2019-07-15 11:55:00,862,0
2019-07-15 12:00:00,902,0
2019-07-15 12:05:00,833,0
2019-07-15 12:10:00,780,0
2019-07-15 12:15:00,661,0
2019-07-15 12:20:00,630,0
2019-07-15 12:25:00,619,0
2019-07-15 12:30:00,607,0
2019-07-15 12:35:00,588,0
2019-07-15 12:40:00,569,0
2019-07-15 12:45:00,559,0
2019-07-15 12:50:00,543,0
2019-07-15 12:55:00,523,0
2019-07-15 13:00:00,506,0
2019-07-15 13:05:00,501,0
2019-07-15 13:10:00,478,0
2019-07-15 13:15:00,460,0
2019-07-15 13:20:00,451,0
2019-07-15 13:25:00,438,0
2019-07-15 13:30:00,426,0
2019-07-15 13:35:00,412,0
2019-07-15 13:40:00,404,0
2019-07-15 13:45:00,395,0
2019-07-15 13:50:00,380,0
2019-07-15 13:55:00,379,0
2019-07-02 00:00:00,89,1
2019-07-02 00:05:00,94,1
2019-07-02 00:10:00,88,1
