timestamp,WiFi-val,truth-val
2019-07-09 11:45:00,7,0
2019-07-09 11:50:00,8,0
2019-07-09 11:55:00,17,0
2019-07-09 12:00:00,18,0
2019-07-09 12:05:00,24,0
2019-07-09 12:10:00,24,0
2019-07-09 12:15:00,26,0
2019-07-09 12:20:00,26,0
2019-07-09 12:25:00,22,0
2019-07-09 12:30:00,22,0
2019-07-09 12:35:00,21,0
2019-07-09 12:40:00,21,0
2019-07-09 12:45:00,19,0
2019-07-09 12:50:00,19,0
2019-07-09 12:55:00,20,0
2019-07-09 13:00:00,20,0
2019-07-09 13:05:00,14,0
2019-07-09 13:10:00,14,0
2019-07-09 13:15:00,18,0
2019-07-09 13:20:00,18,0
2019-07-09 13:25:00,21,0
2019-07-09 13:30:00,21,0
2019-07-09 13:35:00,21,0
2019-07-09 13:40:00,21,0
2019-07-09 13:45:00,21,0
2019-07-09 13:50:00,20,0
2019-07-09 13:55:00,13,0
2019-07-10 11:00:00,35,0
2019-07-10 11:05:00,30,0
2019-07-10 11:10:00,34,0
2019-07-10 11:15:00,39,0
2019-07-10 11:20:00,39,0
2019-07-10 11:25:00,38,0
2019-07-10 11:30:00,38,0
2019-07-10 11:35:00,38,0
2019-07-10 11:40:00,32,0
2019-07-10 11:45:00,30,0
2019-07-10 11:50:00,32,0
2019-07-10 11:55:00,35,0
2019-07-10 12:00:00,29,0
2019-07-10 12:05:00,21,0
2019-07-10 12:10:00,21,0
2019-07-10 12:15:00,20,0
2019-07-10 12:20:00,21,0
2019-07-10 12:25:00,23,0
2019-07-10 12:30:00,25,0
2019-07-10 12:35:00,28,0
2019-07-10 12:40:00,26,0
2019-07-10 12:45:00,23,0
2019-07-10 12:50:00,22,0
2019-07-10 12:55:00,20,0
2019-07-10 13:00:00,24,0
2019-07-10 13:05:00,28,0
2019-07-10 13:10:00,26,0
2019-07-10 13:15:00,24,0
2019-07-10 13:20:00,29,0
2019-07-10 13:25:00,35,0
2019-07-10 13:30:00,38,0
2019-07-10 13:35:00,41,0
2019-07-10 13:40:00,36,0
2019-07-10 13:45:00,29,0
2019-07-10 13:50:00,30,0
2019-07-10 13:55:00,34,0
2019-07-11 11:00:00,29,0
2019-07-11 11:05:00,26,0
2019-07-11 11:10:00,19,0
2019-07-11 11:15:00,5,0
2019-07-11 11:20:00,7,0
2019-07-11 11:25:00,12,0
2019-07-11 11:30:00,14,0
2019-07-11 11:35:00,18,0
2019-07-11 11:40:00,18,0
2019-07-11 11:45:00,18,0
2019-07-11 11:50:00,17,0
2019-07-11 11:55:00,16,0
2019-07-11 12:00:00,14,0
2019-07-11 12:05:00,8,0
2019-07-11 12:10:00,9,0
2019-07-11 12:15:00,10,0
2019-07-11 12:20:00,12,0
2019-07-11 12:25:00,17,0
2019-07-11 12:30:00,17,0
2019-07-11 12:35:00,17,0
2019-07-11 12:40:00,18,0
2019-07-11 12:45:00,20,0
2019-07-11 12:50:00,23,0
2019-07-11 12:55:00,28,0
2019-07-11 13:00:00,28,0
2019-07-11 13:05:00,29,0
2019-07-11 13:10:00,28,0
2019-07-11 13:15:00,28,0
2019-07-11 13:20:00,23,0
2019-07-11 13:25:00,14,0
2019-07-11 13:30:00,25,0
2019-07-11 13:35:00,31,0
2019-07-11 13:40:00,32,0
2019-07-11 13:45:00,34,0
2019-07-11 13:50:00,30,0
2019-07-11 13:55:00,23,0
2019-07-12 11:00:00,25,0
2019-07-12 11:05:00,25,0
2019-07-12 11:10:00,26,0
2019-07-12 11:15:00,27,0
2019-07-12 11:20:00,27,0
2019-07-12 11:25:00,27,0
2019-07-12 11:30:00,26,0
2019-07-12 11:35:00,22,0
2019-07-12 11:40:00,23,0
2019-07-12 11:45:00,24,0
2019-07-12 11:50:00,21,0
2019-07-12 11:55:00,18,0
2019-07-12 12:00:00,19,0
2019-07-12 12:05:00,21,0
2019-07-12 12:10:00,20,0
2019-07-12 12:15:00,18,0
2019-07-12 12:20:00,17,0
2019-07-12 12:25:00,16,0
2019-07-12 12:30:00,16,0
2019-07-12 12:35:00,17,0
2019-07-12 12:40:00,17,0
2019-07-12 12:45:00,17,0
2019-07-12 12:50:00,17,0
2019-07-12 12:55:00,16,0
2019-07-12 13:00:00,18,0
2019-07-12 13:05:00,23,0
2019-07-12 13:10:00,24,0
2019-07-12 13:15:00,26,0
2019-07-12 13:20:00,26,0
