fused-proba-dt,fused-proba-HM,truth-val,Elec-val,Elec-proba,WiFi-val,WiFi-proba,CO2-val,CO2-proba
2019-07-19 18:30:00,0.447175141518391,1,7514.8,0.4126785036274015,0.0,0.949567621656822,147.0,0.3093603707901043
2019-07-19 18:35:00,0.45880272106703546,1,6350.5,0.4259910464824616,0.0,0.949567621656822,145.0,0.3186560346971995
2019-07-19 18:40:00,0.4637916690609882,1,5208.9,0.43914916630827816,0.0,0.949567621656822,145.0,0.3186560346971995
2019-07-19 18:45:00,0.47466289817104873,1,4972.2,0.441888756834529,0.0,0.949567621656822,142.0,0.3328727469088723
2019-07-19 18:50:00,0.484088410562588,1,4314.6,0.44951796753696194,0.0,0.949567621656822,140.0,0.34252452037529146
2019-07-19 18:55:00,0.4965518326172376,1,4369.8,0.44887659435975324,0.0,0.949567621656822,136.0,0.3622176989658882
2019-07-19 19:00:00,0.49397152983015413,1,4250.7,0.450260636227305,0.0,0.949567621656822,137.0,0.35724776753336634
2019-07-19 19:05:00,0.4934235977294088,1,4368.0,0.4488975060328857,0.0,0.949567621656822,137.0,0.35724776753336634
2019-07-19 19:10:00,0.4889117661157193,1,4658.5,0.4455249832229013,0.0,0.949567621656822,138.0,0.3523083589546043
2019-07-19 19:15:00,0.47510378971209044,1,5585.7,0.43479574984895386,0.0,0.949567621656822,141.0,0.33768173148931496
2019-07-19 19:20:00,0.4867534281202096,1,5766.2,0.4327138303580779,0.0,0.949567621656822,137.0,0.35724776753336634
2019-07-19 19:25:00,0.5012257290282287,1,5286.9,0.4382471895592076,0.0,0.949567621656822,133.0,0.3773016706977168
2019-07-19 19:30:00,0.4880749664496338,1,5493.4,0.4358612489202414,0.0,0.949567621656822,137.0,0.35724776753336634
2019-07-19 19:35:00,0.4892746784694359,1,5873.9,0.4314727252518093,0.0,0.949567621656822,136.0,0.3622176989658882
2019-07-19 19:40:00,0.49473799731370893,1,5981.3,0.4302359336716996,0.0,0.949567621656822,134.0,0.3722455707559118
2019-07-19 19:45:00,0.48446008494054604,1,6234.9,0.4273190187689947,0.0,0.949567621656822,137.0,0.35724776753336634
2019-07-19 19:50:00,0.48430694083845505,1,6866.8,0.42007325034312015,0.0,0.949567621656822,136.0,0.3622176989658882
2019-07-19 19:55:00,0.4970013392547257,1,7201.4,0.4162502118163023,0.0,0.949567621656822,131.0,0.387493421714411
2019-07-19 20:00:00,0.4934875737124813,1,6791.6,0.420933801599264,0.0,0.949567621656822,133.0,0.3773016706977168
2019-07-19 20:05:00,0.49942606998384165,1,6751.7,0.42139059278452473,0.0,0.949567621656822,131.0,0.387493421714411
2019-07-19 20:10:00,0.5044520960385998,1,6858.7,0.42016591944849907,0.0,0.949567621656822,129.0,0.3977846095289275
2019-07-19 20:15:00,0.5037848217440409,1,6979.9,0.4187799064654407,0.0,0.949567621656822,129.0,0.3977846095289275
2019-07-19 20:20:00,0.5111446675858238,1,7119.9,0.41718049698324916,0.0,0.949567621656822,126.0,0.41338968990158514
2019-07-19 20:25:00,0.5221328649533309,1,7025.6,0.4182576240806084,0.0,0.949567621656822,122.0,0.4344648523857233
2019-07-19 20:30:00,0.5311750624335654,1,7559.6,0.41216867478171737,0.0,0.949567621656822,117.0,0.4611368937983594
2019-07-19 20:35:00,0.5387713877232867,1,7464.1,0.4132557010510351,0.0,0.949567621656822,114.0,0.4772576675608128
2019-07-19 20:40:00,0.5297662434547883,1,7007.3,0.41846674367270503,0.0,0.949567621656822,119.0,0.4504326104883226
2019-07-19 20:45:00,0.5294149534822234,1,7064.8,0.4178097728744227,0.0,0.949567621656822,119.0,0.4504326104883226
2019-07-19 20:50:00,0.5318076757009034,1,7073.2,0.4177138223640222,0.0,0.949567621656822,118.0,0.4557796453613587
2019-07-19 20:55:00,0.536364972179061,1,6727.6,0.421666564482945,0.0,0.949567621656822,117.0,0.4611368937983594
2019-07-19 21:00:00,0.5447556471177463,1,6889.7,0.41981129041327525,0.0,0.949567621656822,113.0,0.48264348032550053
2019-07-19 21:05:00,0.5567320230142135,1,6753.1,0.4213745627410034,0.0,0.949567621656822,108.0,0.5096080170922627
2019-07-19 21:10:00,0.5529581190063069,1,7315.9,0.41494425535646484,0.0,0.949567621656822,108.0,0.5096080170922627
2019-07-19 21:15:00,0.5691030928371247,1,6748.8,0.42142379840173394,0.0,0.949567621656822,102.0,0.5418780947985057
2019-07-19 21:20:00,0.5708681967470298,1,6775.9,0.4211135253820882,0.0,0.949567621656822,101.0,0.5472297471255103
2019-07-19 21:25:00,0.5612288828961493,1,6755.2,0.42135051798646894,1.0,0.8735869520880554,101.0,0.5472297471255103
2019-07-19 21:30:00,0.5612904949470584,1,6746.1,0.421454714615234,1.0,0.8735869520880554,101.0,0.5472297471255103
2019-07-19 21:35:00,0.5666971473596809,1,6759.6,0.4213001397103841,1.0,0.8735869520880554,98.0,0.5632145115599627
