,thresholds,TP,TN,FP,FN,VDA,ODA,COF,COR,MOF,MOR,COR/MOR,COR/MOF,MCC,"dist 0,0: COR-MOR","dist 0,0: COR-MOF","dist 0,1: ROC",AUCOR-MOR,AUROCC
0,0.0,3617.0,0.0,2428.0,0.0,1.0,0.0,0.40165425971877583,1.0,0.0,0.0,inf,inf,,1.0,1.0,1.0,0.0800713863100251,0.9766056454077601
1,0.001,3617.0,1648.0,780.0,0.0,1.0,0.6787479406919276,0.12903225806451613,0.3212520593080725,0.0,0.0,inf,inf,0.7472230907781274,0.3212520593080725,0.3212520593080725,0.3212520593080725,,
2,0.002,3617.0,1648.0,780.0,0.0,1.0,0.6787479406919276,0.12903225806451613,0.3212520593080725,0.0,0.0,inf,inf,0.7472230907781274,0.3212520593080725,0.3212520593080725,0.3212520593080725,,
3,0.003,3617.0,1679.0,749.0,0.0,1.0,0.6915156507413509,0.123904052936311,0.3084843492586491,0.0,0.0,inf,inf,0.7568910947735905,0.3084843492586491,0.3084843492586491,0.3084843492586491,,
4,0.004,3617.0,1679.0,749.0,0.0,1.0,0.6915156507413509,0.123904052936311,0.3084843492586491,0.0,0.0,inf,inf,0.7568910947735905,0.3084843492586491,0.3084843492586491,0.3084843492586491,,
5,0.005,3617.0,1679.0,749.0,0.0,1.0,0.6915156507413509,0.123904052936311,0.3084843492586491,0.0,0.0,inf,inf,0.7568910947735905,0.3084843492586491,0.3084843492586491,0.3084843492586491,,
6,0.006,3617.0,1679.0,749.0,0.0,1.0,0.6915156507413509,0.123904052936311,0.3084843492586491,0.0,0.0,inf,inf,0.7568910947735905,0.3084843492586491,0.3084843492586491,0.3084843492586491,,
7,0.007,3617.0,1709.0,719.0,0.0,1.0,0.7038714991762768,0.11894127377998345,0.2961285008237232,0.0,0.0,inf,inf,0.7662602690571665,0.2961285008237232,0.2961285008237232,0.2961285008237232,,
8,0.008,3617.0,1709.0,719.0,0.0,1.0,0.7038714991762768,0.11894127377998345,0.2961285008237232,0.0,0.0,inf,inf,0.7662602690571665,0.2961285008237232,0.2961285008237232,0.2961285008237232,,
9,0.009,3617.0,1709.0,719.0,0.0,1.0,0.7038714991762768,0.11894127377998345,0.2961285008237232,0.0,0.0,inf,inf,0.7662602690571665,0.2961285008237232,0.2961285008237232,0.2961285008237232,,
10,0.01,3617.0,1709.0,719.0,0.0,1.0,0.7038714991762768,0.11894127377998345,0.2961285008237232,0.0,0.0,inf,inf,0.7662602690571665,0.2961285008237232,0.2961285008237232,0.2961285008237232,,
