fused-proba-dt,fused-proba-SDWRMS,truth-val,elec-val,elec-proba,wifi-val,wifi-proba,co2-val,co2-proba
2019-07-20 06:30:00,0.7549827638305004,1,7042.3,0.762492603411743,1.0,0.828743867216218,27.0,0.6546066810616744
2019-07-20 06:35:00,0.7764469120617145,1,6262.5,0.8057196596540686,1.0,0.828743867216218,24.0,0.6776298310440476
2019-07-20 06:40:00,0.7809908702558491,1,6124.5,0.8127143399872816,1.0,0.828743867216218,23.0,0.6851232240223244
2019-07-20 06:45:00,0.7918049352338918,1,5850.5,0.8260244843607318,1.0,0.828743867216218,20.0,0.7070226249796355
2019-07-20 06:50:00,0.7788778561792624,1,5896.2,0.823857564412066,1.0,0.828743867216218,26.0,0.6623685916608575
2019-07-20 06:55:00,0.8394620437724305,1,5582.8,0.8382963719604155,0.0,0.9638961918054456,24.0,0.6776298310440476
2019-07-20 07:00:00,0.8387794030898847,1,5375.1,0.8473288682490749,0.0,0.9638961918054456,26.0,0.6623685916608575
2019-07-20 07:05:00,0.7871252953631191,1,5525.0,0.8408524663677867,1.0,0.828743867216218,25.0,0.6700439936734776
2019-07-20 07:10:00,0.787771044328916,1,5609.9,0.83708656232386,1.0,0.828743867216218,24.0,0.6776298310440476
2019-07-20 07:15:00,0.8022197701160022,1,5063.0,0.8601188825228938,1.0,0.828743867216218,21.0,0.6998220517874603
2019-07-20 07:20:00,0.8022899795924838,1,4920.5,0.8656539369185241,1.0,0.828743867216218,22.0,0.6925214713508006
2019-07-20 07:25:00,0.8060818234872054,1,4790.0,0.8705594757449351,1.0,0.828743867216218,21.0,0.6998220517874603
2019-07-20 07:30:00,0.8092074632955657,1,4403.9,0.8841864833172378,1.0,0.828743867216218,22.0,0.6925214713508006
2019-07-20 07:35:00,0.8044236580877416,1,4469.7,0.8819557082338721,1.0,0.828743867216218,24.0,0.6776298310440476
2019-07-20 07:40:00,0.8023911544711112,1,4473.4,0.8818291708044957,1.0,0.828743867216218,25.0,0.6700439936734776
2019-07-20 07:45:00,0.7952433663615339,1,4994.9,0.8627875084295112,1.0,0.828743867216218,25.0,0.6700439936734776
2019-07-20 07:50:00,0.7784733570154478,1,5919.5,0.8227446256206732,1.0,0.828743867216218,26.0,0.6623685916608575
2019-07-20 07:55:00,0.7862054711422303,1,5581.7,0.8383453251475315,1.0,0.828743867216218,25.0,0.6700439936734776
2019-07-20 08:00:00,0.7813255313903604,1,5753.1,0.8305725079524076,1.0,0.828743867216218,26.0,0.6623685916608575
2019-07-20 08:05:00,0.7800466454513635,1,5946.7,0.8214384304077829,1.0,0.828743867216218,25.0,0.6700439936734776
2019-07-20 08:10:00,0.7633198994860879,1,6190.3,0.8094036429443046,1.0,0.828743867216218,31.0,0.6227610649788212
2019-07-20 08:15:00,0.7581345545088978,1,6465.0,0.7950998332452527,1.0,0.828743867216218,31.0,0.6227610649788212
2019-07-20 08:20:00,0.7492797915937431,1,6599.7,0.7878003962951893,1.0,0.828743867216218,34.0,0.5981431587920636
2019-07-20 08:25:00,0.7290483770346904,1,7557.8,0.730494851766593,1.0,0.828743867216218,34.0,0.5981431587920636
2019-07-20 08:30:00,0.7292153023335662,1,7550.3,0.7309793841775907,1.0,0.828743867216218,34.0,0.5981431587920636
2019-07-20 08:35:00,0.7186015999249602,1,7924.9,0.7061173738854026,1.0,0.828743867216218,35.0,0.5898190920277144
2019-07-20 08:40:00,0.7072390219620676,1,8411.4,0.6719159720010426,1.0,0.828743867216218,35.0,0.5898190920277144
2019-07-20 08:45:00,0.704936354791627,1,8787.6,0.6441315798319893,1.0,0.828743867216218,32.0,0.6146183840175052
2019-07-20 08:50:00,0.6962796337172514,1,9058.8,0.6234684017299006,1.0,0.828743867216218,33.0,0.6064110247556285
2019-07-20 08:55:00,0.6771464415584169,1,9581.7,0.5823935759536831,1.0,0.828743867216218,36.0,0.5814432564649055
2019-07-20 09:00:00,0.6849275174268314,1,9736.7,0.5699664627305416,1.0,0.828743867216218,31.0,0.6227610649788212
2019-07-20 09:05:00,0.710103138008668,1,9335.7,0.6018977564434418,1.0,0.828743867216218,24.0,0.6776298310440476
