,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3254,266
predicted:Occupied(0),363,2162
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,57.099999999999994%,
Accuracy: Overall,89.60000000000001%,
Accuracy: Vacant,90.0%,
Accuracy: Occupied,89.0%,
Complaint Opportunity Rate,4.3999999999999995%,
Missed Opportunity Rate,6.0%,
