fused-proba-dt,fused-proba-SDWA,truth-val,elec-val,elec-proba,wifi-val,wifi-proba,co2-val,co2-proba
2019-07-27 07:30:00,0.7088518500193465,1,4334.0,0.4569072277546488,1.0,0.8729152473584029,35.0,0.8336621285296565
2019-07-27 07:35:00,0.7067201278122281,1,4283.0,0.45741184776827626,1.0,0.8729152473584029,38.0,0.8245813206852376
2019-07-27 07:40:00,0.7045706557819345,1,4432.9,0.4559289136253818,1.0,0.8729152473584029,40.0,0.8183134132337762
2019-07-27 07:45:00,0.7014641415281688,1,4603.1,0.45424610339253746,1.0,0.8729152473584029,43.0,0.8085870717543454
2019-07-27 07:50:00,0.6969923795914466,1,5119.5,0.4491468761178326,1.0,0.8729152473584029,46.0,0.7984682769952486
2019-07-27 07:55:00,0.6959662030903851,1,5400.6,0.4463755515904697,1.0,0.8729152473584029,46.0,0.7984682769952486
2019-07-27 08:00:00,0.6928200626626433,1,5275.8,0.44760553593458835,1.0,0.8729152473584029,50.0,0.7843625042950235
2019-07-27 08:05:00,0.6935044058942744,1,5588.0,0.44452984106003063,1.0,0.8729152473584029,48.0,0.7915032438827961
2019-07-27 08:10:00,0.6959722242443617,1,5874.6,0.44171008031436143,1.0,0.8729152473584029,44.0,0.8052578837302657
2019-07-27 08:15:00,0.6938316598066903,1,6226.3,0.4382549704948205,1.0,0.8729152473584029,45.0,0.8018849793080416
2019-07-27 08:20:00,0.6943009205590872,1,6568.3,0.4349008835926264,1.0,0.8729152473584029,43.0,0.8085870717543454
2019-07-27 08:25:00,0.7216488304883144,1,7560.4,0.42520580492021226,0.0,0.948917536080485,40.0,0.8183134132337762
2019-07-27 08:30:00,0.7222729081503683,1,8048.9,0.42045262171954756,0.0,0.948917536080485,37.0,0.827650870305648
2019-07-27 08:35:00,0.7199193830483722,1,8040.4,0.420535204780627,0.0,0.948917536080485,40.0,0.8183134132337762
2019-07-27 08:40:00,0.7194990405156342,1,8603.1,0.41507801690558604,0.0,0.948917536080485,38.0,0.8245813206852376
