,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3056,234
predicted:Occupied(0),561,2194
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,57.699999999999996%,
Accuracy: Overall,86.8%,
Accuracy: Vacant,84.5%,
Accuracy: Occupied,90.4%,
Complaint Opportunity Rate,3.9%,
Missed Opportunity Rate,9.3%,
