,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),2830,316
predicted:Occupied(0),787,2112
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,0.3%,
Accuracy: Overall,81.8%,
Accuracy: Vacant,78.2%,
Accuracy: Occupied,87.0%,
Complaint Opportunity Rate,5.2%,
Missed Opportunity Rate,13.0%,
