fused-proba-dt,fused-proba-HAVG,truth-val,elec-val,elec-proba,wifi-val,wifi-proba,co2-val,co2-proba
2019-07-16 00:00:00,0.011711966791286142,1,4816.5,0.9498655873050599,2,0.49481220595115194,118,0.003951405332645486
2019-07-16 00:05:00,0.010416845998845565,1,4672.4,0.9563494391628793,2,0.49481220595115194,120,0.0035096532804694824
2019-07-16 00:10:00,0.013165448171599923,1,4837.8,0.9488329160217704,2,0.49481220595115194,116,0.004448511489167251
2019-07-16 00:15:00,0.01241800973465843,1,4758.2,0.9525920165853632,2,0.49481220595115194,117,0.0041926282806582504
2019-07-16 00:20:00,0.01479583426452118,1,4801.3,0.9505904138788018,2,0.49481220595115194,114,0.0050078416117008695
2019-07-16 00:25:00,0.016620948618368624,1,5203.6,0.9276610882674968,2,0.49481220595115194,112,0.005637100459493949
2019-07-16 00:30:00,0.01866797233686059,1,5175.3,0.9295527168356932,2,0.49481220595115194,110,0.006344924426622156
2019-07-16 00:35:00,0.02492110613052848,1,4782.1,0.9514917886316323,2,0.49481220595115194,105,0.008524572204261616
2019-07-16 00:40:00,0.024915147852372282,1,5226.1,0.9261238397641057,2,0.49481220595115194,105,0.008524572204261616
2019-07-16 00:45:00,0.026389284988799708,1,5123.4,0.932903446610902,2,0.49481220595115194,104,0.009042440531970897
2019-07-16 00:50:00,0.03132323206437759,1,5227.6,0.9260202946899893,2,0.49481220595115194,101,0.0107904316650268
2019-07-16 00:55:00,0.03315709434369095,1,5205.6,0.9275256470764063,2,0.49481220595115194,100,0.011444362231837868
2019-07-16 01:00:00,0.033154079202969165,1,5304.9,0.9205003404225028,2,0.49481220595115194,100,0.011444362231837868
2019-07-16 01:05:00,0.04152799328187248,1,5746.0,0.8812591638915286,2,0.49481220595115194,96,0.014474981057047476
2019-07-16 01:10:00,0.04648119862002977,1,5164.4,0.9302690249526825,2,0.49481220595115194,94,0.01627437321497882
2019-07-16 01:15:00,0.05798494854702116,1,5130.2,0.9324729993152049,2,0.49481220595115194,90,0.020557444554409554
2019-07-16 01:20:00,0.058008821139284114,1,4784.9,0.9513613167636774,2,0.49481220595115194,90,0.020557444554409554
2019-07-16 01:25:00,0.06829336793492549,1,4792.3,0.9510148935661629,2,0.49481220595115194,87,0.024476416514003896
2019-07-16 01:30:00,0.08017976238993337,1,4850.4,0.9482125992964516,2,0.49481220595115194,84,0.029120270161549278
2019-07-16 01:35:00,0.08906239167311451,1,4998.2,0.9403863808542323,2,0.49481220595115194,82,0.03267985596317646
2019-07-16 01:40:00,0.08448453079857983,1,5151.6,0.931101589991167,2,0.49481220595115194,83,0.03085039692455316
2019-07-16 01:45:00,0.08447691582245065,1,5193.6,0.9283347996316184,2,0.49481220595115194,83,0.03085039692455316
2019-07-16 01:50:00,0.11513801851897247,1,4793.1,0.9509773025325987,2,0.49481220595115194,77,0.04351010467427108
2019-07-16 01:55:00,0.1151555258764162,1,4713.8,0.954573286505744,2,0.49481220595115194,77,0.04351010467427108
2019-07-16 02:00:00,0.12721040819056592,1,4661.2,0.9568184386734402,2,0.49481220595115194,75,0.04874036171001339
2019-07-16 02:05:00,0.1471066224809615,1,4680.2,0.9560199469204785,2,0.49481220595115194,72,0.057715395632085054
2019-07-16 02:10:00,0.1470324756315041,1,4880.3,0.9467120127169809,2,0.49481220595115194,72,0.057715395632085054
2019-07-16 02:15:00,0.16162389475933955,1,4678.0,0.9561131201214509,2,0.49481220595115194,70,0.06453802298301758
2019-07-16 02:20:00,0.17690979443897786,1,5071.4,0.9361117886871362,2,0.49481220595115194,68,0.07210544782644746
2019-07-16 02:25:00,0.16138856727263798,1,5137.7,0.9319952715602245,2,0.49481220595115194,70,0.06453802298301758
2019-07-16 02:30:00,0.20216993651174062,1,4822.8,0.9495622226992939,2,0.49481220595115194,65,0.08499848243151409
2019-07-16 02:35:00,0.21107099916145325,1,4746.0,0.9531444583785793,2,0.49481220595115194,64,0.08974163997917883
2019-07-16 02:40:00,0.1935601718218803,1,4825.0,0.9494558769628432,2,0.49481220595115194,66,0.08048385135394942
2019-07-16 02:45:00,0.22003049187634224,1,4880.6,0.94669675069598,2,0.49481220595115194,63,0.09472207906003649
2019-07-16 02:50:00,0.23893778278510155,1,4755.3,0.9527238928531653,2,0.49481220595115194,61,0.10542985941192706
2019-07-16 02:55:00,0.2575695881899588,1,5381.7,0.9146458647111868,2,0.49481220595115194,59,0.11719139479248342
2019-07-16 03:00:00,0.31872335680420716,1,5632.1,0.8927603917430235,2,0.49481220595115194,53,0.15945246952987435
2019-07-16 03:05:00,0.30964280970964314,1,5138.0,0.9319760974275525,2,0.49481220595115194,54,0.15163864124552184
2019-07-16 03:10:00,0.3201861392283756,1,5192.6,0.9284018514085269,2,0.49481220595115194,53,0.15945246952987435
2019-07-16 03:15:00,0.3526511824288624,1,5182.0,0.9291090485193252,2,0.49481220595115194,50,0.18485241314206513
2019-07-16 03:20:00,0.3417259023870842,1,5203.1,0.9276949120819978,2,0.49481220595115194,51,0.1760545885666185
2019-07-16 03:25:00,0.36389653632037944,1,5069.7,0.9362142258714531,2,0.49481220595115194,49,0.19398637533522956
2019-07-16 03:30:00,0.39663619401452554,1,5051.1,0.9373250513957206,2,0.49481220595115194,46,0.22342515495536608
2019-07-16 03:35:00,0.3860859050097611,1,4951.4,0.9429774028394821,2,0.49481220595115194,47,0.2132718248580182
2019-07-16 03:40:00,0.39557150648113804,1,5314.7,0.9197742262196821,2,0.49481220595115194,46,0.22342515495536608
