,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3402,323
predicted:Occupied(0),215,2105
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,51.9%,
Accuracy: Overall,91.10000000000001%,
Accuracy: Vacant,94.1%,
Accuracy: Occupied,86.7%,
Complaint Rate,5.3%,
Missed Opportunity Rate,3.5999999999999996%,
