,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3586,458
predicted:Occupied(0),31,1970
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,47.099999999999994%,
Accuracy: Overall,91.9%,
Accuracy: Vacant,99.1%,
Accuracy: Occupied,81.10000000000001%,
Complaint Opportunity Rate,7.6%,
Missed Opportunity Rate,0.5%,
