fused-proba-dt,fused-proba-RMS,truth-val,elec-val,elec-proba,wifi-val,wifi-proba,co2-val,co2-proba
2019-08-02 00:45:00,0.7279409244584256,1,6208.3,0.8084902242954406,0.0,0.9638961918054456,115.0,0.08331660786319739
2019-08-02 00:50:00,0.7278060394641502,1,6205.4,0.8086376116202952,0.0,0.9638961918054456,117.0,0.07819359140914872
2019-08-02 00:55:00,0.7345058299104998,1,5843.2,0.826368666605756,0.0,0.9638961918054456,116.0,0.08071803263658417
2019-08-02 01:00:00,0.7359142138037381,1,5762.9,0.8301192208745447,0.0,0.9638961918054456,116.0,0.08071803263658417
2019-08-02 01:05:00,0.7363998874650343,1,5720.1,0.8320918038074854,0.0,0.9638961918054456,119.0,0.07336037237439763
2019-08-02 01:10:00,0.7437997380807315,1,5248.7,0.8526206623062275,0.0,0.9638961918054456,125.0,0.060467253438070245
2019-08-02 01:15:00,0.7447818771173846,1,5186.0,0.8551888540738246,0.0,0.9638961918054456,125.0,0.060467253438070245
2019-08-02 01:20:00,0.7493592856024015,1,4878.9,0.8672345159037812,0.0,0.9638961918054456,126.0,0.058535823251396835
2019-08-02 01:25:00,0.742903868365555,1,5305.2,0.850274259037714,0.0,0.9638961918054456,125.0,0.060467253438070245
2019-08-02 01:30:00,0.7504708368007837,1,4805.6,0.8699811913771593,0.0,0.9638961918054456,125.0,0.060467253438070245
2019-08-02 01:35:00,0.749441066120409,1,4884.5,0.8670226666228993,0.0,0.9638961918054456,123.0,0.06451016778897567
2019-08-02 01:40:00,0.7506009985297608,1,4813.2,0.8696986678890224,0.0,0.9638961918054456,121.0,0.0688036007534617
2019-08-02 01:45:00,0.7507812506010544,1,4805.5,0.8699849053162025,0.0,0.9638961918054456,120.0,0.07104825618667387
2019-08-02 01:50:00,0.7445796593268618,1,5218.9,0.8538459369029692,0.0,0.9638961918054456,120.0,0.07104825618667387
2019-08-02 01:55:00,0.744999652071598,1,5187.5,0.855127850503493,0.0,0.9638961918054456,121.0,0.0688036007534617
2019-08-02 02:00:00,0.7444401169472422,1,5248.7,0.8526206623062275,0.0,0.9638961918054456,116.0,0.08071803263658417
2019-08-02 02:05:00,0.7363758765370693,1,5713.0,0.8324172574998244,0.0,0.9638961918054456,121.0,0.0688036007534617
2019-08-02 02:10:00,0.7525330325443392,1,4698.6,0.8739037640934137,0.0,0.9638961918054456,117.0,0.07819359140914872
2019-08-02 02:15:00,0.7526707404796392,1,4709.0,0.873526993061106,0.0,0.9638961918054456,114.0,0.08599101429270017
2019-08-02 02:20:00,0.7511497418297286,1,4796.3,0.8703262018565812,0.0,0.9638961918054456,117.0,0.07819359140914872
2019-08-02 02:25:00,0.7501363341404313,1,4879.2,0.8672231740850012,0.0,0.9638961918054456,115.0,0.08331660786319739
2019-08-02 02:30:00,0.7504353465168878,1,4852.1,0.8682444117505183,0.0,0.9638961918054456,116.0,0.08071803263658417
2019-08-02 02:35:00,0.7519624232238319,1,4766.7,0.8714191166658283,0.0,0.9638961918054456,113.0,0.08874295664602827
2019-08-02 02:40:00,0.7526209132016208,1,4776.0,0.8710765832577809,0.0,0.9638961918054456,107.0,0.10697866370559528
2019-08-02 02:45:00,0.7455239455470353,1,5249.9,0.8525711448828074,0.0,0.9638961918054456,107.0,0.10697866370559528
2019-08-02 02:50:00,0.7439658306915031,1,5368.8,0.8475962682540231,0.0,0.9638961918054456,105.0,0.11375486439844507
