,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3509,382
predicted:Occupied(0),108,2046
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,52.300000000000004%,
Accuracy: Overall,91.9%,
Accuracy: Vacant,97.0%,
Accuracy: Occupied,84.3%,
Complaint Rate,6.3%,
Missed Opportunity Rate,1.7999999999999998%,
