fused-proba-dt,fused-proba-SDWRMS,truth-val,Elec-val,Elec-proba,WiFi-val,WiFi-proba,CO2-val,CO2-proba
2019-07-28 14:05:00,0.6120643130336548,1,19966.2,0.28137822993639156,1.0,0.8735869520880554,111.0,0.4934259611099287
2019-07-28 14:10:00,0.6111001573388957,1,19586.0,0.2850025665273906,1.0,0.8735869520880554,112.0,0.4880333286525755
2019-07-28 14:15:00,0.607425746999711,1,19097.9,0.289696393544368,1.0,0.8735869520880554,115.0,0.4718771380403052
2019-07-28 14:20:00,0.6086585693199968,1,19242.7,0.2882991504870715,1.0,0.8735869520880554,114.0,0.4772576675608128
2019-07-28 14:25:00,0.6068199614225505,1,19529.4,0.28554451284232046,1.0,0.8735869520880554,115.0,0.4718771380403052
2019-07-28 14:30:00,0.6071990003518538,1,19258.3,0.2881488582115098,1.0,0.8735869520880554,115.0,0.4718771380403052
2019-07-28 14:35:00,0.6168952448783935,1,18645.2,0.29409045171052545,1.0,0.8735869520880554,109.0,0.504214560903691
2019-07-28 14:40:00,0.6108027527839498,1,18755.1,0.29302015543939275,1.0,0.8735869520880554,113.0,0.48264348032550053
2019-07-28 14:45:00,0.5344460510496092,1,19014.2,0.290505880285827,2.0,0.7172238867498594,113.0,0.48264348032550053
2019-07-28 14:50:00,0.5311573403784584,1,19006.7,0.2905784801180152,2.0,0.7172238867498594,115.0,0.4718771380403052
2019-07-28 14:55:00,0.5361593030773655,1,18989.1,0.29074888977884644,2.0,0.7172238867498594,112.0,0.4880333286525755
2019-07-28 15:00:00,0.5368832217635634,1,19595.4,0.2849126212286204,2.0,0.7172238867498594,111.0,0.4934259611099287
2019-07-28 15:05:00,0.5425749352259495,1,19248.2,0.288246157503472,2.0,0.7172238867498594,108.0,0.5096080170922627
2019-07-28 15:10:00,0.5410141943670679,1,18095.9,0.2994739787270133,2.0,0.7172238867498594,110.0,0.49882012367565537
2019-07-28 15:15:00,0.6259434636917625,1,17705.3,0.30333624628048766,1.0,0.8735869520880554,104.0,0.5311469738592887
2019-07-28 15:20:00,0.6185801447109446,1,17501.2,0.30536554129663934,1.0,0.8735869520880554,109.0,0.504214560903691
2019-07-28 15:25:00,0.6631207310505006,1,16953.2,0.31085149568109355,0.0,0.949567621656822,105.0,0.525769963101003
2019-07-28 15:30:00,0.6619441922485585,1,16762.8,0.3127701800281084,0.0,0.949567621656822,106.0,0.5203869692773209
2019-07-28 15:35:00,0.6140729749124949,1,17533.4,0.30504488267352325,1.0,0.8735869520880554,112.0,0.4880333286525755
2019-07-28 15:40:00,0.6220004330692754,1,17246.2,0.307911570224958,1.0,0.8735869520880554,107.0,0.5149992374528468
2019-07-28 15:45:00,0.6328097696927432,1,17333.3,0.30704060134207833,1.0,0.8735869520880554,100.0,0.5525705029118502
2019-07-28 15:50:00,0.6257221883513102,1,15855.0,0.3220058878465484,1.0,0.8735869520880554,106.0,0.5203869692773209
2019-07-28 15:55:00,0.6291354881574094,1,15654.1,0.32406905752286974,1.0,0.8735869520880554,104.0,0.5311469738592887
2019-07-28 16:00:00,0.6224314407494044,1,15099.7,0.32979795263676054,1.0,0.8735869520880554,109.0,0.504214560903691
2019-07-28 16:05:00,0.6253056962278819,1,15183.3,0.3289307753209953,1.0,0.8735869520880554,107.0,0.5149992374528468
2019-07-28 16:10:00,0.6339009910384651,1,15613.8,0.32448375177818806,1.0,0.8735869520880554,101.0,0.5472297471255103
2019-07-28 16:15:00,0.6357847045441947,1,15429.3,0.32638580180579496,1.0,0.8735869520880554,100.0,0.5525705029118502
2019-07-28 16:20:00,0.639967754468319,1,14825.5,0.33265032743869205,1.0,0.8735869520880554,98.0,0.5632145115599627
