,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3234,216
predicted:Occupied(0),383,2212
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,55.2%,
Accuracy: Overall,90.10000000000001%,
Accuracy: Vacant,89.4%,
Accuracy: Occupied,91.10000000000001%,
Complaint Opportunity Rate,3.5999999999999996%,
Missed Opportunity Rate,6.3%,
