,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3292,246
predicted:Occupied(0),325,2182
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,53.0%,
Accuracy: Overall,90.60000000000001%,
Accuracy: Vacant,91.0%,
Accuracy: Occupied,89.9%,
Complaint Opportunity Rate,4.1000000000000005%,
Missed Opportunity Rate,5.4%,
