,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),0,0
predicted:Occupied(0),3617,2428
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,100.0%,
Accuracy: Overall,40.2%,
Accuracy: Vacant,0.0%,
Accuracy: Occupied,100.0%,
Complaint Opportunity Rate,0.0%,
Missed Opportunity Rate,59.8%,
