,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3162,254
predicted:Occupied(0),455,2174
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,49.1%,
Accuracy: Overall,88.3%,
Accuracy: Vacant,87.4%,
Accuracy: Occupied,89.5%,
Complaint Opportunity Rate,4.2%,
Missed Opportunity Rate,7.5%,
