,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3594,442
predicted:Occupied(0),23,1986
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,31.8%,
Accuracy: Overall,92.30000000000001%,
Accuracy: Vacant,99.4%,
Accuracy: Occupied,81.8%,
Complaint Opportunity Rate,7.3%,
Missed Opportunity Rate,0.4%,
