,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3407,322
predicted:Occupied(0),210,2106
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,43.4%,
Accuracy: Overall,91.2%,
Accuracy: Vacant,94.19999999999999%,
Accuracy: Occupied,86.7%,
Complaint Rate,5.3%,
Missed Opportunity Rate,3.5000000000000004%,
