fused-proba-dt,fused-proba-SDWA,truth-val,elec-val,elec-proba,wifi-val,wifi-proba,co2-val,co2-proba
2019-07-17 23:40:00,0.630188517612317,1,6531.3,0.7915305323831667,1.0,0.828743867216218,80.0,0.23325328814750979
2019-07-17 23:45:00,0.6326924416355556,1,6606.9,0.7874049271161612,1.0,0.828743867216218,78.0,0.2458261593316996
2019-07-17 23:50:00,0.6292841898781254,1,6886.5,0.7716320085254298,1.0,0.828743867216218,77.0,0.2522813882708609
2019-07-17 23:55:00,0.6272437017174916,1,7188.7,0.7536778968729296,1.0,0.828743867216218,75.0,0.2655247309300409
2019-07-18 00:00:00,0.6415046050384663,1,6463.8,0.7951640160546312,1.0,0.828743867216218,75.0,0.2655247309300409
2019-07-18 00:05:00,0.6354852973885075,1,6565.5,0.7896715309486609,1.0,0.828743867216218,77.0,0.2522813882708609
2019-07-18 00:10:00,0.6369440399149503,1,6487.1,0.7939151307365102,1.0,0.828743867216218,77.0,0.2522813882708609
2019-07-18 00:15:00,0.6324851549963668,1,6512.3,0.7925580687244932,1.0,0.828743867216218,79.0,0.23948320067537232
2019-07-18 00:20:00,0.6264894722734377,1,6626.6,0.7863201309343182,1.0,0.828743867216218,81.0,0.22713703795237727
2019-07-18 00:25:00,0.6221877986213992,1,6562.5,0.7898350867158045,1.0,0.828743867216218,84.0,0.20947412448308322
2019-07-18 00:30:00,0.602065307851666,1,7465.3,0.7364321264001474,1.0,0.828743867216218,85.0,0.20381565483224684
2019-07-18 00:35:00,0.6184391614370988,1,6850.8,0.7736909885362477,1.0,0.828743867216218,83.0,0.21524721823469817
2019-07-18 00:40:00,0.610184175443245,1,6830.9,0.7748329960766251,1.0,0.828743867216218,88.0,0.1875262517695011
2019-07-18 00:45:00,0.6142291153442748,1,6795.6,0.776848694248868,1.0,0.828743867216218,86.0,0.19827169945952727
2019-07-18 00:50:00,0.6138311908602446,1,6815.9,0.7756910997965225,1.0,0.828743867216218,86.0,0.19827169945952727
2019-07-18 00:55:00,0.6214043285155597,1,6793.4,0.7769738917595742,1.0,0.828743867216218,82.0,0.22113491111557348
2019-07-18 01:00:00,0.6132606982477703,1,6931.8,0.7690004209748218,1.0,0.828743867216218,85.0,0.20381565483224684
2019-07-18 01:05:00,0.6088020005399564,1,7318.9,0.7456557093850278,1.0,0.828743867216218,83.0,0.21524721823469817
2019-07-18 01:10:00,0.6150803948779566,1,6840.3,0.7742940653937853,1.0,0.828743867216218,85.0,0.20381565483224684
2019-07-18 01:15:00,0.6202724327318955,1,6384.8,0.7993565588898791,1.0,0.828743867216218,87.0,0.1928420193083218
2019-07-18 01:20:00,0.6296453145492159,1,6457.5,0.7955007309163004,1.0,0.828743867216218,81.0,0.22713703795237727
2019-07-18 01:25:00,0.6213814815983951,1,6417.0,0.7976555051619748,1.0,0.828743867216218,86.0,0.19827169945952727
2019-07-18 01:30:00,0.6214344195574427,1,6320.2,0.8027368723838583,1.0,0.828743867216218,87.0,0.1928420193083218
2019-07-18 01:35:00,0.62885369189477,1,6398.3,0.798644691289025,1.0,0.828743867216218,82.0,0.22113491111557348
2019-07-18 01:40:00,0.6197719610084118,1,6689.9,0.7828072200456322,1.0,0.828743867216218,84.0,0.20947412448308322
2019-07-18 01:45:00,0.6127519894123618,1,7044.1,0.762385555882356,1.0,0.828743867216218,84.0,0.20947412448308322
2019-07-18 01:50:00,0.6245379966792194,1,6533.1,0.7914329926736746,1.0,0.828743867216218,83.0,0.21524721823469817
2019-07-18 01:55:00,0.6317642711868943,1,6655.8,0.7847048043408063,1.0,0.828743867216218,78.0,0.2458261593316996
2019-07-18 02:00:00,0.6275758865864312,1,6569.0,0.7894805978875767,1.0,0.828743867216218,81.0,0.22713703795237727
2019-07-18 02:05:00,0.6282078924151255,1,6535.2,0.7913191538712065,1.0,0.828743867216218,81.0,0.22713703795237727
2019-07-18 02:10:00,0.6335971087916353,1,6558.8,0.7900366769157474,1.0,0.828743867216218,78.0,0.2458261593316996
2019-07-18 02:15:00,0.6312271657204988,1,6891.8,0.7713252119090475,1.0,0.828743867216218,76.0,0.2588479478663842
2019-07-18 02:20:00,0.6266178037234773,1,7019.0,0.7638752759183536,1.0,0.828743867216218,77.0,0.2522813882708609
2019-07-18 02:25:00,0.6421281145195843,1,6544.4,0.7908198923323085,1.0,0.828743867216218,74.0,0.2723104593246427
2019-07-18 02:30:00,0.6411703946262076,1,6708.3,0.7817782958869819,1.0,0.828743867216218,73.0,0.2792036810052235
2019-07-18 02:35:00,0.6367961448984165,1,6604.7,0.7875258219752912,1.0,0.828743867216218,76.0,0.2588479478663842
2019-07-18 02:40:00,0.6360416593360123,1,6644.5,0.785330962557323,1.0,0.828743867216218,76.0,0.2588479478663842
