,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3418,335
predicted:Occupied(0),199,2093
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,41.6%,
Accuracy: Overall,91.2%,
Accuracy: Vacant,94.5%,
Accuracy: Occupied,86.2%,
Complaint Rate,5.5%,
Missed Opportunity Rate,3.3000000000000003%,
