,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3343,368
predicted:Occupied(0),274,2060
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,30.7%,
Accuracy: Overall,89.4%,
Accuracy: Vacant,92.4%,
Accuracy: Occupied,84.8%,
Complaint Rate,6.1%,
Missed Opportunity Rate,4.5%,
