,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3066,188
predicted:Occupied(0),551,2240
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,44.7%,
Accuracy: Overall,87.8%,
Accuracy: Vacant,84.8%,
Accuracy: Occupied,92.30000000000001%,
Complaint Opportunity Rate,3.1%,
Missed Opportunity Rate,9.1%,
