fused-proba-dt,fused-proba-SDWA,truth-val,elec-val,elec-proba,wifi-val,wifi-proba,co2-val,co2-proba
2019-07-16 00:00:00,0.5107609790968568,1,4816.5,0.9498655873050599,2,0.49481220595115205,118,0.003951405332645486
2019-07-16 00:05:00,0.5132082244091506,1,4672.4,0.9563494391628793,2,0.49481220595115205,120,0.0035096532804694824
2019-07-16 00:10:00,0.5105157984627555,1,4837.8,0.9488329160217704,2,0.49481220595115205,116,0.004448511489167251
2019-07-16 00:15:00,0.5119346993581563,1,4758.2,0.9525920165853632,2,0.49481220595115205,117,0.0041926282806582504
2019-07-16 00:20:00,0.5114092202330699,1,4801.3,0.9505904138788017,2,0.49481220595115205,114,0.0050078416117008695
2019-07-16 00:25:00,0.5024387536328835,1,5203.6,0.9276610882674968,2,0.49481220595115205,112,0.005637100459493949
2019-07-16 00:30:00,0.5034362089944113,1,5175.3,0.9295527168356932,2,0.49481220595115205,110,0.006344924426622156
2019-07-16 00:35:00,0.512961749512047,1,4782.1,0.9514917886316322,2,0.49481220595115205,105,0.008524572204261616
2019-07-16 00:40:00,0.5028013637126354,1,5226.1,0.9261238397641057,2,0.49481220595115205,105,0.008524572204261616
2019-07-16 00:45:00,0.5056921957800535,1,5123.4,0.9329034466109019,2,0.49481220595115205,104,0.009042440531970897
2019-07-16 00:50:00,0.5035275919012845,1,5227.6,0.9260202946899893,2,0.49481220595115205,101,0.0107904316650268
2019-07-16 00:55:00,0.5043520759745848,1,5205.6,0.9275256470764063,2,0.49481220595115205,100,0.011444362231837868
2019-07-16 01:00:00,0.501538296021953,1,5304.9,0.9205003404225028,2,0.49481220595115205,100,0.011444362231837868
2019-07-16 01:05:00,0.4868482066069056,1,5746.0,0.8812591638915286,2,0.49481220595115205,96,0.014474981057047476
2019-07-16 01:10:00,0.5070873204369144,1,5164.4,0.9302690249526824,2,0.49481220595115205,94,0.01627437321497882
2019-07-16 01:15:00,0.5094212130331933,1,5130.2,0.9324729993152049,2,0.49481220595115205,90,0.020557444554409554
2019-07-16 01:20:00,0.5169863730459489,1,4784.9,0.9513613167636774,2,0.49481220595115205,90,0.020557444554409554
2019-07-16 01:25:00,0.5181754177131546,1,4792.3,0.9510148935661629,2,0.49481220595115205,87,0.024476416514003896
2019-07-16 01:30:00,0.5186264339877393,1,4850.4,0.9482125992964516,2,0.49481220595115205,84,0.029120270161549278
2019-07-16 01:35:00,0.5166979023618127,1,4998.2,0.9403863808542322,2,0.49481220595115205,82,0.03267985596317646
2019-07-16 01:40:00,0.5123593099933873,1,5151.6,0.9311015899911669,2,0.49481220595115205,83,0.03085039692455316
2019-07-16 01:45:00,0.5112511534914208,1,5193.6,0.9283347996316184,2,0.49481220595115205,83,0.03085039692455316
2019-07-16 01:50:00,0.5246092015580626,1,4793.1,0.9509773025325986,2,0.49481220595115205,77,0.04351010467427108
2019-07-16 01:55:00,0.5260494671737991,1,4713.8,0.954573286505744,2,0.49481220595115205,77,0.04351010467427108
2019-07-16 02:00:00,0.528720770103205,1,4661.2,0.9568184386734401,2,0.49481220595115205,75,0.04874036171001339
2019-07-16 02:05:00,0.5314418059078237,1,4680.2,0.9560199469204785,2,0.49481220595115205,72,0.057715395632085054
2019-07-16 02:10:00,0.5277137866266065,1,4880.3,0.9467120127169809,2,0.49481220595115205,72,0.057715395632085054
2019-07-16 02:15:00,0.5337907109493266,1,4678.0,0.9561131201214508,2,0.49481220595115205,70,0.06453802298301758
2019-07-16 02:20:00,0.5283436994215165,1,5071.4,0.9361117886871362,2,0.49481220595115205,68,0.07210544782644746
2019-07-16 02:25:00,0.5241310160597832,1,5137.7,0.9319952715602245,2,0.49481220595115205,70,0.06453802298301758
2019-07-16 02:30:00,0.5380991885633782,1,4822.8,0.9495622226992938,2,0.49481220595115205,65,0.08499848243151409
2019-07-16 02:35:00,0.5411409858698216,1,4746.0,0.9531444583785792,2,0.49481220595115205,64,0.08974163997917883
2019-07-16 02:40:00,0.5365269842258951,1,4825.0,0.9494558769628432,2,0.49481220595115205,66,0.08048385135394942
2019-07-16 02:45:00,0.5402459781666451,1,4880.6,0.9466967506959799,2,0.49481220595115205,63,0.09472207906003649
2019-07-16 02:50:00,0.5462878959690505,1,4755.3,0.9527238928531653,2,0.49481220595115205,61,0.10542985941192706
2019-07-16 02:55:00,0.5350218097559286,1,5381.7,0.9146458647111868,2,0.49481220595115205,59,0.11719139479248342
2019-07-16 03:00:00,0.5405747817871159,1,5632.1,0.8927603917430234,2,0.49481220595115205,53,0.15945246952987424
2019-07-16 03:05:00,0.5536340613745565,1,5138.0,0.9319760974275525,2,0.49481220595115205,54,0.15163864124552184
2019-07-16 03:10:00,0.5548499201732251,1,5192.6,0.9284018514085269,2,0.49481220595115205,53,0.15945246952987424
2019-07-16 03:15:00,0.5637389700350885,1,5182.0,0.9291090485193252,2,0.49481220595115205,50,0.18485241314206513
2019-07-16 03:20:00,0.5601917717198026,1,5203.1,0.9276949120819978,2,0.49481220595115205,51,0.17605458856661826
2019-07-16 03:25:00,0.5696794348254972,1,5069.7,0.9362142258714531,2,0.49481220595115205,49,0.19398637533522956
2019-07-16 03:30:00,0.5800985518314726,1,5051.1,0.9373250513957206,2,0.49481220595115205,46,0.22342515495536608
2019-07-16 03:35:00,0.5789223660126102,1,4951.4,0.9429774028394821,2,0.49481220595115205,47,0.2132718248580182
2019-07-16 03:40:00,0.5730690850102567,1,5314.7,0.9197742262196821,2,0.49481220595115205,46,0.22342515495536608
