,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3596,559
predicted:Occupied(0),21,1869
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,21.5%,
Accuracy: Overall,90.4%,
Accuracy: Vacant,99.4%,
Accuracy: Occupied,77.0%,
Complaint Opportunity Rate,9.2%,
Missed Opportunity Rate,0.3%,
