,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3582,451
predicted:Occupied(0),35,1977
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,48.0%,
Accuracy: Overall,92.0%,
Accuracy: Vacant,99.0%,
Accuracy: Occupied,81.39999999999999%,
Complaint Opportunity Rate,7.5%,
Missed Opportunity Rate,0.6%,
