fused-proba-dt,fused-proba-RMS,truth-val,Elec-val,Elec-proba,WiFi-val,WiFi-proba,CO2-val,CO2-proba
2019-07-16 00:00:00,0.553476430453397,1,4816.5,0.44369278600401113,2,0.7172238867498594,118,0.4557796453613587
2019-07-16 00:05:00,0.5510203570021673,1,4672.4,0.4453637361011206,2,0.7172238867498594,120,0.4450970010389467
2019-07-16 00:10:00,0.556381028724292,1,4837.8,0.4434459032514627,2,0.7172238867498594,116,0.4665031345423346
2019-07-16 00:15:00,0.5551338732394109,1,4758.2,0.44436866800754116,2,0.7172238867498594,117,0.4611368937983594
2019-07-16 00:20:00,0.5595249944909038,1,4801.3,0.4438689822571242,2,0.7172238867498594,114,0.4772576675608128
2019-07-16 00:25:00,0.5613948312887633,1,5203.6,0.43921046912947,2,0.7172238867498594,112,0.4880333286525755
2019-07-16 00:30:00,0.5646311856397338,1,5175.3,0.43953783441522215,2,0.7172238867498594,110,0.49882012367565537
2019-07-16 00:35:00,0.5738935664751407,1,4782.1,0.44409156612219625,2,0.7172238867498594,105,0.525769963101003
2019-07-16 00:40:00,0.5725735661158944,1,5226.1,0.4389502341042916,2,0.7172238867498594,105,0.525769963101003
2019-07-16 00:45:00,0.5745284919289217,1,5123.4,0.44013833342474074,2,0.7172238867498594,104,0.5311469738592887
2019-07-16 00:50:00,0.5792329924232141,1,5227.6,0.4389328862947371,2,0.7172238867498594,101,0.5472297471255103
2019-07-16 00:55:00,0.580984733108304,1,5205.6,0.43918733577136704,2,0.7172238867498594,100,0.5525705029118502
2019-07-16 01:00:00,0.5806957081792469,1,5304.9,0.43803909880347575,2,0.7172238867498594,100,0.5525705029118502
2019-07-16 01:05:00,0.5862593549503008,1,5746.0,0.4329467041496389,2,0.7172238867498594,96,0.5738006112245074
2019-07-16 01:10:00,0.5913667113098168,1,5164.4,0.43966393615501326,2,0.7172238867498594,94,0.5843195027177083
2019-07-16 01:15:00,0.5983957584462055,1,5130.2,0.4400596453139546,2,0.7172238867498594,90,0.6051197038775137
2019-07-16 01:20:00,0.5993798039367221,1,4784.9,0.44405910457537656,2,0.7172238867498594,90,0.6051197038775137
2019-07-16 01:25:00,0.6045702350113464,1,4792.3,0.44397331564404313,2,0.7172238867498594,87,0.6204781208523663
2019-07-16 01:30:00,0.6096203344727531,1,4850.4,0.443299873073435,2,0.7172238867498594,84,0.6355989108050103
2019-07-16 01:35:00,0.6126785232751271,1,4998.2,0.44158765403885625,2,0.7172238867498594,82,0.6455347850609258
2019-07-16 01:40:00,0.6105161525564958,1,5151.6,0.4398120288753185,2,0.7172238867498594,83,0.6405819175789779
2019-07-16 01:45:00,0.6103995287339788,1,5193.6,0.43932613988044816,2,0.7172238867498594,83,0.6405819175789779
2019-07-16 01:50:00,0.6218707342565989,1,4793.1,0.44396404136498263,2,0.7172238867498594,77,0.6698174800830605
2019-07-16 01:55:00,0.622089738254224,1,4713.8,0.4448835431595896,2,0.7172238867498594,77,0.6698174800830605
2019-07-16 02:00:00,0.6256492970596083,1,4661.2,0.4454936609410515,2,0.7172238867498594,75,0.6792911180563973
2019-07-16 02:05:00,0.6306722198492297,1,4680.2,0.4452732571403415,2,0.7172238867498594,72,0.6932272134154297
2019-07-16 02:10:00,0.6301274395849943,1,4880.3,0.4429533804019619,2,0.7172238867498594,72,0.6932272134154297
2019-07-16 02:15:00,0.6340255688943623,1,4678.0,0.4452987764802046,2,0.7172238867498594,70,0.7023276742205998
2019-07-16 02:20:00,0.6362829237369245,1,5071.4,0.4407401652217098,2,0.7172238867498594,68,0.7112706096510607
2019-07-16 02:25:00,0.6327849512626067,1,5137.7,0.4399728604500128,2,0.7172238867498594,70,0.7023276742205998
2019-07-16 02:30:00,0.6418557193400449,1,4822.8,0.44361976144298565,2,0.7172238867498594,65,0.7243809059336619
2019-07-16 02:35:00,0.6436760583478418,1,4746.0,0.444510130857237,2,0.7172238867498594,64,0.7286681302975653
2019-07-16 02:40:00,0.6402241290632036,1,4825.0,0.44359426137636,2,0.7172238867498594,66,0.7200519660785597
2019-07-16 02:45:00,0.644922879536793,1,4880.6,0.44294990416755964,2,0.7172238867498594,63,0.7329132556609005
2019-07-16 02:50:00,0.6484322961855414,1,4755.3,0.4444022936064953,2,0.7172238867498594,61,0.7412758096161458
2019-07-16 02:55:00,0.6499258584829279,1,5381.7,0.43715149067650033,2,0.7172238867498594,59,0.7494660332857328
2019-07-16 03:00:00,0.6584060945148652,1,5632.1,0.4342603411761009,2,0.7172238867498594,53,0.7729835756599194
2019-07-16 03:05:00,0.6581825907540091,1,5138.0,0.4399693891317475,2,0.7172238867498594,54,0.7691747533671657
2019-07-16 03:10:00,0.6595279455884255,1,5192.6,0.43933770731829785,2,0.7172238867498594,53,0.7729835756599194
2019-07-16 03:15:00,0.6639312984060777,1,5182.0,0.4394603262090152,2,0.7172238867498594,50,0.7841420948866547
2019-07-16 03:20:00,0.6624324501816437,1,5203.1,0.43921625251027474,2,0.7172238867498594,51,0.7804673170397483
2019-07-16 03:25:00,0.6656486070953295,1,5069.7,0.4407598434420922,2,0.7172238867498594,49,0.7877720870075202
2019-07-16 03:30:00,0.6699007506560976,1,5051.1,0.44097515847005553,2,0.7172238867498594,46,0.7983932947342076
2019-07-16 03:35:00,0.6687677865460124,1,4951.4,0.44212966984805085,2,0.7172238867498594,47,0.7948976715781956
2019-07-16 03:40:00,0.6692336352033406,1,5314.7,0.43792581410704184,2,0.7172238867498594,46,0.7983932947342076
