,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3561,476
predicted:Occupied(0),56,1952
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,0.3%,
Accuracy: Overall,91.2%,
Accuracy: Vacant,98.5%,
Accuracy: Occupied,80.4%,
Complaint Opportunity Rate,7.9%,
Missed Opportunity Rate,0.8999999999999999%,
