fused-proba-dt,fused-proba-SDWRMS,truth-val,elec-val,elec-proba,wifi-val,wifi-proba,co2-val,co2-proba
2019-07-31 18:45:00,0.8135580220939383,0,5653.0,0.9998035536734757,1.0,0.994751325034338,208.0,0.10272126097284501
2019-07-31 18:50:00,0.8131061812898679,0,4896.8,0.9998913384203165,1.0,0.994751325034338,212.0,0.09041469577969667
2019-07-31 18:55:00,0.8165729178297331,0,4724.8,0.9999050314810785,0.0,0.9981315367261187,198.0,0.14012391732083915
2019-07-31 19:00:00,0.8198508275555378,0,4640.2,0.999911119325384,0.0,0.9981315367261187,188.0,0.188287704662532
2019-07-31 19:05:00,0.8202927487166833,0,4253.0,0.9999343674548523,0.0,0.9981315367261187,187.0,0.19374359645757788
2019-07-31 19:10:00,0.8233647312621132,1,4233.2,0.9999353772972407,0.0,0.9981315367261187,181.0,0.22899151867396914
2019-07-31 19:15:00,0.8391194035450479,1,4867.5,0.9998938032351521,1.0,0.994751325034338,162.0,0.36745501938325403
2019-07-31 19:20:00,0.8453199908519038,1,4941.7,0.9998874498324457,0.0,0.9981315367261187,158.0,0.4008521127284546
2019-07-31 19:25:00,0.8495840227628031,1,4495.3,0.9999206536964036,0.0,0.9981315367261187,155.0,0.4265380519612294
2019-07-31 19:30:00,0.8525939705394668,1,4391.8,0.9999268311943921,0.0,0.9981315367261187,153.0,0.4438940958939057
2019-07-31 19:35:00,0.8531129027267341,1,4618.5,0.9999126169539071,1.0,0.994751325034338,152.0,0.45262649845472525
2019-07-31 19:40:00,0.856321276171623,1,4649.9,0.9999104416042772,1.0,0.994751325034338,150.0,0.4701737421314152
2019-07-31 19:45:00,0.8557163266952444,1,4945.8,0.9998870878907862,0.0,0.9981315367261187,151.0,0.46138816018317846
2019-07-31 19:50:00,0.8768880382087766,1,5531.5,0.9998213817188496,0.0,0.9981315367261187,139.0,0.5668346453367307
2019-07-31 19:55:00,0.87778599751119,1,5663.0,0.9998020094155686,1.0,0.994751325034338,138.0,0.5754827773681652
2019-07-31 20:00:00,0.8836231149938151,1,5099.2,0.9998726760374982,1.0,0.994751325034338,135.0,0.6011316663583334
2019-07-31 20:05:00,0.8740166651582073,1,5108.5,0.9998717454009339,1.0,0.994751325034338,140.0,0.5581456046044682
2019-07-31 20:10:00,0.8797535877266195,1,4789.8,0.9999000722894972,1.0,0.994751325034338,137.0,0.5840849388048897
2019-07-31 20:15:00,0.8875504969966912,1,4896.1,0.9998913979684297,1.0,0.994751325034338,133.0,0.6179367369258537
2019-07-31 20:20:00,0.8895235292731396,1,4786.2,0.9999003536047166,1.0,0.994751325034338,132.0,0.6262373566524992
2019-07-31 20:25:00,0.8914705678976735,1,5371.5,0.9998424152086902,1.0,0.994751325034338,131.0,0.6344643161775432
2019-07-31 20:30:00,0.8993728811878023,1,5314.5,0.9998492942232015,1.0,0.994751325034338,127.0,0.6665565431482443
2019-07-31 20:35:00,0.9052783985178519,1,4853.5,0.9998949611460157,1.0,0.994751325034338,124.0,0.6896701249232635
