,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3575,492
predicted:Occupied(0),42,1936
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,21.9%,
Accuracy: Overall,91.2%,
Accuracy: Vacant,98.8%,
Accuracy: Occupied,79.7%,
Complaint Opportunity Rate,8.1%,
Missed Opportunity Rate,0.7000000000000001%,
