fused-proba-dt,fused-proba-SDWM,truth-val,Elec-val,Elec-proba,WiFi-val,WiFi-proba,CO2-val,CO2-proba
2019-07-16 00:00:00,0.5607210717791932,1,4816.5,0.9626807861348012,2,0.49481220610598453,118,0.0026006022772410153
2019-07-16 00:05:00,0.5634925364643679,1,4672.4,0.9691066586728343,2,0.49481220610598453,120,0.002294173520266174
2019-07-16 00:10:00,0.5603528757935603,1,4837.8,0.9616279435237512,2,0.49481220610598453,116,0.002947839258990892
2019-07-16 00:15:00,0.5619899382235427,1,4758.2,0.9654223353198708,2,0.49481220610598453,117,0.0027687977717542056
2019-07-16 00:20:00,0.5612620785926367,1,4801.3,0.9634150746634026,2,0.49481220610598453,114,0.0033412846139536656
2019-07-16 00:25:00,0.5502878978359894,1,5203.6,0.9384692314186157,2,0.49481220610598453,112,0.0037870432971260914
2019-07-16 00:30:00,0.5514048490695904,1,5175.3,0.9406506635207164,2,0.49481220610598453,110,0.004292014271589872
2019-07-16 00:35:00,0.5623964763683645,1,4782.1,0.9643227457360022,2,0.49481220610598453,105,0.005867138004051475
2019-07-16 00:40:00,0.550093770382039,1,5226.1,0.9366816466256448,2,0.49481220610598453,105,0.005867138004051475
2019-07-16 00:45:00,0.5536669615168079,1,5123.4,0.9444640376220961,2,0.49481220610598453,104,0.006245275784608539
2019-07-16 00:50:00,0.5505211518089412,1,5227.6,0.9365607680497632,2,0.49481220610598453,101,0.007531143559183828
2019-07-16 00:55:00,0.5514408295434157,1,5205.6,0.9383122639405295,2,0.49481220610598453,100,0.008015661990546485
2019-07-16 01:00:00,0.5477557840719502,1,5304.9,0.930032889694232,2,0.49481220610598453,100,0.008015661990546485
2019-07-16 01:05:00,0.5259520183895232,1,5746.0,0.8795723923980828,2,0.49481220610598453,96,0.010282717374525352
2019-07-16 01:10:00,0.5538960380970208,1,5164.4,0.9414713750753216,2,0.49481220610598453,94,0.011643709414086545
2019-07-16 01:15:00,0.5559594673031923,1,5130.2,0.9439778528562306,2,0.49481220610598453,90,0.014921444154041286
2019-07-16 01:20:00,0.5649564147508501,1,4784.9,0.9641917404650053,2,0.49481220610598453,90,0.014921444154041286
2019-07-16 01:25:00,0.5656803873456759,1,4792.3,0.9638432789368311,2,0.49481220610598453,87,0.017961399612579365
2019-07-16 01:30:00,0.5654654501721442,1,4850.4,0.9609917706933161,2,0.49481220610598453,84,0.021607102485955765
2019-07-16 01:35:00,0.5626064182259346,1,4998.2,0.952734242204295,2,0.49481220610598453,82,0.024429961193572103
2019-07-16 01:40:00,0.5575959953236683,1,5151.6,0.9424215552712908,2,0.49481220610598453,83,0.022976237317718695
2019-07-16 01:45:00,0.5561837014276156,1,5193.6,0.9392484845991043,2,0.49481220610598453,83,0.022976237317718695
2019-07-16 01:50:00,0.5700554856869366,1,4793.1,0.9638054124960646,2,0.49481220610598453,77,0.03314945375837597
2019-07-16 01:55:00,0.5716460173442416,1,4713.8,0.9673789387777293,2,0.49481220610598453,77,0.03314945375837597
2019-07-16 02:00:00,0.5738518376649764,1,4661.2,0.9695586289017004,2,0.49481220610598453,75,0.037422584681644944
2019-07-16 02:05:00,0.5756532105327902,1,4680.2,0.9687880630078259,2,0.49481220610598453,72,0.0448380532036855
2019-07-16 02:10:00,0.5714931211851381,1,4880.3,0.959441384147565,2,0.49481220610598453,72,0.0448380532036855
2019-07-16 02:15:00,0.5773419418582926,1,4678.0,0.9688782438926514,2,0.49481220610598453,70,0.05053914412890159
2019-07-16 02:20:00,0.5699184310294233,1,5071.4,0.9480526100249624,2,0.49481220610598453,68,0.05692192137340191
2019-07-16 02:25:00,0.566018353933974,1,5137.7,0.9434369778452605,2,0.49481220610598453,70,0.05053914412890159
2019-07-16 02:30:00,0.579474768016114,1,4822.8,0.9623723076566905,2,0.49481220610598453,65,0.06792860628587138
2019-07-16 02:35:00,0.582258689775343,1,4746.0,0.96597096387072,2,0.49481220610598453,64,0.07201685541639125
2019-07-16 02:40:00,0.5783068393416229,1,4825.0,0.9622640089064202,2,0.49481220610598453,66,0.06405641864858624
2019-07-16 02:45:00,0.5805929295386615,1,4880.6,0.9594255332324286,2,0.49481220610598453,63,0.07633100383039892
2019-07-16 02:50:00,0.5860230692596452,1,4755.3,0.9655535147262044,2,0.49481220610598453,61,0.08567719544771879
2019-07-16 02:55:00,0.5700541069366288,1,5381.7,0.9229368908296426,2,0.49481220610598453,59,0.09604876300064658
2019-07-16 03:00:00,0.5686391878145112,1,5632.1,0.8950137810930793,2,0.49481220610598453,53,0.13413448965533126
2019-07-16 03:05:00,0.5881197169964312,1,5138.0,0.9434152410538893,2,0.49481220610598453,54,0.12700255337477984
2019-07-16 03:10:00,0.5883619554133874,1,5192.6,0.9393259002753984,2,0.49481220610598453,53,0.13413448965533126
2019-07-16 03:15:00,0.5955034998106316,1,5182.0,0.9401408511168413,2,0.49481220610598453,50,0.15757670403187485
2019-07-16 03:20:00,0.5924163358968739,1,5203.1,0.9385084149326484,2,0.49481220610598453,51,0.1494134266267304
2019-07-16 03:25:00,0.6015398331027201,1,5069.7,0.9481661493512112,2,0.49481220610598453,49,0.16609889229530506
2019-07-16 03:30:00,0.6101184789523005,1,5051.1,0.9493931684317736,2,0.49481220610598453,46,0.19387657924501334
2019-07-16 03:35:00,0.6100574787675267,1,4951.4,0.9555143206783827,2,0.49481220610598453,47,0.1842440661148934
2019-07-16 03:40:00,0.6011139375287712,1,5314.7,0.929162219061144,2,0.49481220610598453,46,0.19387657924501334
