,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3173,280
predicted:Occupied(0),444,2148
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,36.3%,
Accuracy: Overall,88.0%,
Accuracy: Vacant,87.7%,
Accuracy: Occupied,88.5%,
Complaint Opportunity Rate,4.6%,
Missed Opportunity Rate,7.3%,
