,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3203,201
predicted:Occupied(0),414,2227
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,38.5%,
Accuracy: Overall,89.8%,
Accuracy: Vacant,88.6%,
Accuracy: Occupied,91.7%,
Complaint Opportunity Rate,3.3000000000000003%,
Missed Opportunity Rate,6.800000000000001%,
