fused-proba-dt,fused-proba-SM,truth-val,Elec-val,Elec-proba,WiFi-val,WiFi-proba,CO2-val,CO2-proba
2019-07-19 12:10:00,0.0,0,17576.8,0.0,23.0,0.0,394.0,0.0
2019-07-19 12:15:00,0.0,0,16336.1,0.0,19.0,0.0,369.0,0.0
2019-07-19 12:20:00,0.0,0,16631.7,0.0,19.0,0.0,364.0,0.0
2019-07-19 12:25:00,0.0,0,17107.4,0.0,22.0,0.0,421.0,0.0
2019-07-19 12:30:00,0.0,0,17302.2,0.0,20.0,0.0,489.0,0.0
2019-07-19 12:35:00,0.0,0,16714.0,0.0,17.0,0.0,420.0,0.0
2019-07-19 12:40:00,0.0,0,15152.0,0.0,17.0,0.0,382.0,0.0
2019-07-19 12:45:00,0.0,0,15235.9,0.0,18.0,0.0,294.0,0.0
2019-07-19 12:50:00,0.0,0,14989.8,0.0,18.0,0.0,262.0,0.0
2019-07-19 12:55:00,0.0,0,16193.7,0.0,18.0,0.0,262.0,0.0
2019-07-19 13:00:00,0.0,0,14847.6,0.0,18.0,0.0,262.0,0.0
2019-07-19 13:05:00,0.0,0,16721.1,0.0,21.0,0.0,366.0,0.0
2019-07-19 13:10:00,0.0,0,17059.6,0.0,22.0,0.0,418.0,0.0
2019-07-19 13:15:00,0.0,0,15639.3,0.0,28.0,0.0,418.0,0.0
2019-07-19 13:20:00,0.0,0,16889.6,0.0,28.0,0.0,490.0,0.0
2019-07-19 13:25:00,0.0,0,19359.2,0.0,28.0,0.0,490.0,0.0
2019-07-19 13:30:00,0.0,0,16692.2,0.0,28.0,0.0,527.0,0.0
2019-07-19 13:35:00,0.0,0,17512.0,0.0,28.0,0.0,538.0,0.0
2019-07-19 13:40:00,0.0,0,18474.8,0.0,28.0,0.0,540.0,0.0
2019-07-19 13:45:00,0.0,0,17348.4,0.0,30.0,0.0,508.0,0.0
2019-07-19 13:50:00,0.0,0,18271.3,0.0,30.0,0.0,523.0,0.0
2019-07-19 13:55:00,0.0,0,17968.0,0.0,28.0,0.0,525.0,0.0
2019-07-19 14:00:00,0.0,0,18091.1,0.0,28.0,0.0,526.0,0.0
2019-07-19 14:05:00,0.0,0,18286.3,0.0,29.0,0.0,496.0,0.0
2019-07-19 14:10:00,0.0,0,18374.9,0.0,29.0,0.0,508.0,0.0
2019-07-19 14:15:00,0.0,0,18025.7,0.0,29.0,0.0,517.0,0.0
2019-07-19 14:20:00,0.0,0,18564.9,0.0,28.0,0.0,502.0,0.0
2019-07-19 14:25:00,0.0,0,17171.1,0.0,26.0,0.0,512.0,0.0
2019-07-19 14:30:00,0.0,0,16126.8,0.0,26.0,0.0,498.0,0.0
2019-07-19 14:35:00,0.0,0,15710.3,0.0,30.0,0.0,368.0,0.0
2019-07-19 14:40:00,0.0,0,17025.3,0.0,29.0,0.0,391.0,0.0
2019-07-19 14:45:00,0.0,0,15411.3,0.0,27.0,0.0,351.0,0.0
2019-07-19 14:50:00,0.0,0,13778.3,0.0,27.0,0.0,343.0,0.0
2019-07-19 14:55:00,0.0,0,14435.0,0.0,31.0,0.0,342.0,0.0
2019-07-19 15:00:00,0.0,0,14121.2,0.0,31.0,0.0,348.0,0.0
2019-07-19 15:05:00,0.0,0,13886.6,0.0,27.0,0.0,377.0,0.0
2019-07-19 15:10:00,0.0,0,13476.1,0.0,27.0,0.0,368.0,0.0
