,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3594,503
predicted:Occupied(0),23,1925
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,21.2%,
Accuracy: Overall,91.3%,
Accuracy: Vacant,99.4%,
Accuracy: Occupied,79.3%,
Complaint Opportunity Rate,8.3%,
Missed Opportunity Rate,0.4%,
