,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),2653,254
predicted:Occupied(0),964,2174
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,0.5%,
Accuracy: Overall,79.9%,
Accuracy: Vacant,73.3%,
Accuracy: Occupied,89.5%,
Complaint Opportunity Rate,4.2%,
Missed Opportunity Rate,15.9%,
