Sensor-Name,Sensor-Type,Update-Frequency,Measurement-Units,Data-Access-Type,Vacancy-Relationship-Type,Training-Data-Set,Data-Retrieval-File-Name,Preprocessing-File-Name,Relationship-Builder-File-Name,Std-Dev,Parameter-1,Parameter-2,Parameter-3,Parameter-4
Elec,electricity demand,1m,W,na,logistic,full,data_elec,prep_elec,builder_expit,0.2540106797311561,-4.6961134924450905e-05,2.1078896214370122e-08,,
WiFi,wifi connections,10m,counts,na,logistic,full,data_wifi,prep_wifi,builder_expit,0.22368583210605372,-1.0023203840921326,2.935373349637931,,
CO2,carbon dioxide,5m,ppm,na,logistic,full,data_co2,prep_co2,builder_expit,0.22856404260364843,-0.02157815694920921,2.368877750355523,,
