,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3193,296
predicted:Occupied(0),424,2132
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,44.800000000000004%,
Accuracy: Overall,88.1%,
Accuracy: Vacant,88.3%,
Accuracy: Occupied,87.8%,
Complaint Opportunity Rate,4.9%,
Missed Opportunity Rate,7.000000000000001%,
