,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3602,533
predicted:Occupied(0),15,1895
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,7.1%,
Accuracy: Overall,90.9%,
Accuracy: Vacant,99.6%,
Accuracy: Occupied,78.0%,
Complaint Opportunity Rate,8.799999999999999%,
Missed Opportunity Rate,0.2%,
