,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3426,369
predicted:Occupied(0),191,2059
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,28.599999999999998%,
Accuracy: Overall,90.7%,
Accuracy: Vacant,94.69999999999999%,
Accuracy: Occupied,84.8%,
Complaint Opportunity Rate,6.1%,
Missed Opportunity Rate,3.2%,
