,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3204,419
predicted:Occupied(0),413,2009
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,41.699999999999996%,
Accuracy: Overall,86.2%,
Accuracy: Vacant,88.6%,
Accuracy: Occupied,82.69999999999999%,
Complaint Opportunity Rate,6.9%,
Missed Opportunity Rate,6.800000000000001%,
