,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3596,616
predicted:Occupied(0),21,1812
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,3.8%,
Accuracy: Overall,89.5%,
Accuracy: Vacant,99.4%,
Accuracy: Occupied,74.6%,
Complaint Opportunity Rate,10.2%,
Missed Opportunity Rate,0.3%,
