,truth:Vacant(1),truth:Occupied(0)
predicted:Vacant(1),3163,409
predicted:Occupied(0),454,2019
-,,
True Vacancy Ratio,59.8%,
Optimum Cutoff,72.0%,
Accuracy: Overall,85.7%,
Accuracy: Vacant,87.4%,
Accuracy: Occupied,83.2%,
Complaint Opportunity Rate,6.800000000000001%,
Missed Opportunity Rate,7.5%,
